Duracion,Longitud,Latitud,Elevacion,PC
0,14.543236,46.053342,285.3,96
3,14.543263,46.05321,285.3,99
10,14.543257,46.052875,285.2,101
17,14.543289,46.052502,285.3,108
19,14.543301,46.052393,285.4,113
32,14.5433,46.051678,285.3,116
43,14.543293,46.051043,285.5,121
54,14.543284,46.050428,287.1,126
67,14.543217,46.049652,290.7,127
81,14.543143,46.04888,290.5,133
94,14.543193,46.048293,292.2,134
102,14.543203,46.048027,293.2,128
104,14.543204,46.047967,293.5,127
110,14.543359,46.047881,293.6,121
114,14.543359,46.047845,293.8,114
118,14.54335,46.047745,294.3,111
124,14.543639,46.04768,293.4,112
130,14.544069,46.047685,292.0,119
136,14.544511,46.047673,290.5,114
138,14.544649,46.04767,290.4,113
147,14.545327,46.047616,291.3,107
152,14.54571,46.047586,291.7,100
153,14.545786,46.047584,291.7,100
155,14.545943,46.047593,291.7,100
168,14.546974,46.047523,290.7,106
179,14.547845,46.047461,289.7,107
183,14.548178,46.047473,289.4,107
204,14.549968,46.047224,289.7,109
222,14.551501,46.046916,288.8,104
245,14.553508,46.046544,288.1,105
268,14.555499,46.04618,287.7,103
278,14.556391,46.046012,286.2,108
299,14.558313,46.045658,285.1,103
318,14.559974,46.045356,286.0,106
338,14.561867,46.045193,285.9,107
343,14.562345,46.045168,285.7,102
369,14.564757,46.045041,285.4,101
393,14.566927,46.044904,282.7,107
418,14.569222,46.044649,283.4,104
442,14.571444,46.044367,284.0,103
462,14.573207,46.044101,282.0,105
478,14.57459,46.043893,282.2,106
482,14.574925,46.043818,282.5,103
491,14.575687,46.043708,283.0,109
495,14.575982,46.043649,283.0,107
500,14.576129,46.043581,283.0,101
507,14.576447,46.04358,282.5,103
511,14.576758,46.043531,281.6,108
514,14.577005,46.043489,280.9,112
517,14.577261,46.043436,280.9,118
518,14.577351,46.043429,281.1,118
537,14.579044,46.043232,282.5,116
549,14.580165,46.043061,281.1,111
556,14.580812,46.04296,281.5,106
577,14.582733,46.042556,280.2,102
592,14.584022,46.042093,281.3,107
606,14.585228,46.041903,281.8,112
611,14.585689,46.041905,281.1,117
627,14.587213,46.041961,280.6,119
638,14.588242,46.041995,279.5,114
649,14.589285,46.041937,280.2,109
668,14.590993,46.041634,280.3,106
678,14.591851,46.041474,278.4,112
694,14.593279,46.041259,280.0,117
711,14.594778,46.041022,280.7,117
729,14.596358,46.040629,278.9,113
745,14.597782,46.040188,279.0,111
756,14.598829,46.040117,277.9,116
760,14.59921,46.040109,277.7,121
775,14.600634,46.040019,277.6,125
790,14.602067,46.040135,278.3,127
796,14.602605,46.040219,278.7,127
804,14.603303,46.040081,278.9,126
807,14.603503,46.039938,278.7,126
823,14.604263,46.03909,278.4,127
834,14.605081,46.038709,279.0,125
841,14.605694,46.03853,278.8,120
856,14.606916,46.038082,278.3,119
872,14.608073,46.037551,278.2,118
879,14.608606,46.037557,278.8,116
885,14.609012,46.037747,279.4,116
891,14.609512,46.037722,280.3,118
902,14.610383,46.03741,285.5,123
908,14.610912,46.037312,288.2,128
912,14.611246,46.037254,290.1,133
916,14.611573,46.037241,292.7,138
927,14.612493,46.037355,298.6,143
930,14.612751,46.037394,300.0,144
939,14.613568,46.037334,302.0,150
950,14.614433,46.037006,306.2,150
963,14.615371,46.03672,308.9,148
973,14.6162,46.036708,304.7,143
977,14.61652,46.036698,304.5,144
