Duracion,Longitud,Latitud,Elevacion,PC
0,14.525368,46.046317,301.8,154
17,14.524392,46.045699,307.9,152
32,14.523646,46.045123,312.7,151
45,14.52274,46.044726,317.1,149
54,14.521939,46.044489,315.1,144
61,14.521307,46.044377,315.6,139
64,14.521042,46.044339,316.0,134
73,14.520239,46.044214,317.0,129
90,14.518716,46.044037,311.2,127
98,14.517963,46.044088,304.3,127
108,14.517125,46.043877,299.3,130
120,14.516361,46.043199,299.2,131
127,14.515973,46.042772,299.0,125
131,14.515816,46.042544,299.1,120
134,14.515771,46.042468,299.1,120
142,14.515713,46.042326,299.3,117
146,14.515754,46.042091,301.0,118
152,14.515666,46.041646,300.3,125
156,14.515599,46.041372,299.6,131
157,14.51558,46.041314,299.3,132
165,14.515449,46.041186,297.2,131
166,14.515416,46.041172,296.7,131
167,14.515386,46.04116,296.6,131
173,14.515356,46.041147,296.5,131
174,14.515309,46.041128,296.3,125
178,14.515389,46.040908,295.7,126
183,14.515638,46.040591,296.3,132
189,14.515955,46.0402,295.9,137
200,14.516625,46.039495,294.1,132
214,14.517575,46.038706,293.9,128
231,14.518874,46.037906,292.1,131
242,14.519812,46.037476,293.0,137
257,14.521114,46.036924,295.3,139
276,14.522704,46.036233,293.0,138
296,14.524274,46.035385,292.9,139
315,14.525622,46.034484,292.6,139
336,14.527112,46.03346,291.8,138
358,14.528653,46.032402,292.0,134
373,14.529707,46.031735,291.7,129
395,14.531242,46.030684,293.9,128
407,14.532076,46.030126,295.6,133
420,14.53302,46.029514,294.1,139
422,14.533176,46.029428,294.3,140
438,14.534434,46.028733,295.6,143
457,14.535843,46.027881,293.5,142
475,14.536942,46.026876,295.0,145
493,14.537975,46.025826,292.8,141
510,14.538932,46.024862,294.7,136
525,14.539701,46.023969,295.3,131
546,14.540596,46.022639,293.9,134
561,14.541238,46.021672,293.0,139
578,14.541893,46.020634,294.3,134
582,14.54202,46.020437,294.8,129
583,14.542046,46.020393,294.8,128
587,14.542074,46.020283,294.5,123
590,14.542072,46.020261,294.4,116
593,14.542121,46.020252,294.6,115
596,14.54214,46.020254,294.6,115
597,14.54214,46.020254,294.6,115
613,14.54214,46.020254,294.6,115
616,14.542277,46.020204,295.1,112
622,14.542263,46.020314,295.3,113
626,14.542425,46.020382,296.1,114
628,14.542543,46.020341,296.5,116
634,14.542941,46.020233,298.0,122
638,14.543194,46.020182,300.2,127
642,14.543446,46.020126,302.3,128
648,14.543804,46.02012,305.2,134
656,14.544155,46.020158,306.9,139
660,14.544288,46.020171,307.6,144
665,14.544504,46.020203,308.8,149
670,14.544721,46.02024,309.7,154
672,14.544792,46.020243,309.9,154
683,14.545289,46.020371,312.2,157
693,14.545746,46.020507,313.6,162
