Duracion,Longitud,Latitud,Elevacion,PC
0,14.545021,46.05333,286.5,77
1,14.545019,46.053331,286.5,77
6,14.545008,46.053321,286.5,80
13,14.544925,46.053129,286.7,89
15,14.54488,46.053048,286.8,88
21,14.544518,46.052963,286.7,95
23,14.544381,46.05296,286.3,96
30,14.543836,46.052945,284.4,100
37,14.543567,46.05266,284.7,106
45,14.543549,46.052218,285.1,113
59,14.543517,46.051349,285.0,117
76,14.543532,46.050373,286.8,121
86,14.543544,46.049827,289.7,122
91,14.543319,46.049737,290.3,119
100,14.54253,46.049843,289.4,123
107,14.541993,46.049926,288.6,123
113,14.541504,46.050034,288.8,122
116,14.541264,46.05011,289.0,122
119,14.541021,46.050107,288.7,122
124,14.540835,46.050242,288.2,123
134,14.540652,46.050869,286.9,124
140,14.540354,46.051015,286.5,127
144,14.540004,46.051029,287.5,126
152,14.539306,46.051303,291.3,128
159,14.539172,46.051379,291.9,126
160,14.539172,46.051379,291.9,126
163,14.539172,46.051379,291.9,126
169,14.538744,46.051483,293.7,122
174,14.538019,46.051755,292.2,127
178,14.537693,46.051882,291.5,132
180,14.53754,46.051949,291.3,137
192,14.536624,46.052463,289.6,137
198,14.536315,46.052401,288.6,131
199,14.536281,46.052342,288.4,130
201,14.536224,46.052212,288.1,130
207,14.535876,46.051871,287.6,131
213,14.535393,46.051679,288.0,125
230,14.534091,46.051159,289.5,123
235,14.533772,46.051033,288.7,118
236,14.533712,46.051009,288.6,117
241,14.533435,46.050922,288.3,115
252,14.53275,46.050624,287.8,116
262,14.532099,46.050346,288.0,116
264,14.531955,46.050282,288.2,119
272,14.531645,46.050071,288.5,118
279,14.531257,46.04991,289.0,117
284,14.53106,46.049775,289.1,114
293,14.530703,46.049414,288.8,119
304,14.530299,46.048955,287.9,120
308,14.530145,46.048783,287.1,121
312,14.529942,46.048665,287.4,122
321,14.529416,46.048559,287.8,121
327,14.529299,46.048435,289.4,119
330,14.529112,46.048358,290.3,118
337,14.528646,46.048382,290.6,125
338,14.528584,46.048395,290.7,127
344,14.528369,46.048327,291.9,134
351,14.528438,46.048077,293.2,134
355,14.528523,46.047883,295.6,134
360,14.528407,46.047722,303.7,136
372,14.52752,46.047501,305.2,140
377,14.527156,46.047382,303.0,143
385,14.526654,46.047123,301.4,148
400,14.525805,46.046544,307.1,149
420,14.524602,46.045687,311.2,153
439,14.523644,46.044935,319.4,153
452,14.52272,46.044521,323.5,148
460,14.522016,46.044332,322.4,143
470,14.521121,46.044228,321.2,138
478,14.520395,46.044134,321.7,133
494,14.518964,46.044029,313.3,131
500,14.51847,46.043996,309.8,129
505,14.518115,46.044026,306.4,123
506,14.518037,46.044035,305.6,123
515,14.517319,46.04392,300.7,129
516,14.517245,46.043881,300.4,129
519,14.517042,46.043748,299.6,128
534,14.51619,46.042931,299.5,123
540,14.515924,46.042598,299.7,118
542,14.51584,46.042481,299.7,117
552,14.515692,46.041811,300.5,119
559,14.515608,46.041369,299.7,119
565,14.515464,46.041156,297.3,111
572,14.515437,46.041127,296.8,110
573,14.515437,46.041127,296.8,110
584,14.515437,46.041127,296.8,110
589,14.515382,46.040901,295.7,112
592,14.515524,46.040726,296.1,118
595,14.515673,46.040555,296.4,123
598,14.515828,46.040375,296.2,130
615,14.516814,46.039414,294.5,129
618,14.516981,46.039261,294.5,128
620,14.517104,46.039162,294.6,128
632,14.517913,46.038581,294.0,127
634,14.518048,46.038468,293.8,127
649,14.519212,46.037875,292.5,129
662,14.520244,46.037336,294.2,130
675,14.521345,46.036853,295.4,127
692,14.522721,46.036263,293.1,127
700,14.523117,46.036093,293.2,124
702,14.523223,46.03604,293.3,125
713,14.523996,46.035569,293.2,127
724,14.5248,46.03506,291.9,131
739,14.525876,46.034374,293.1,134
757,14.527114,46.033518,291.8,135
772,14.528147,46.03282,292.9,138
786,14.529107,46.032162,291.8,137
788,14.52926,46.032093,291.7,138
804,14.530369,46.031329,293.1,136
821,14.531556,46.030522,295.1,134
836,14.532595,46.029817,294.8,133
850,14.533613,46.029168,294.4,135
867,14.534909,46.028484,294.5,134
883,14.536049,46.027734,294.1,139
899,14.536979,46.02687,295.0,143
919,14.538058,46.025744,292.8,145
939,14.53915,46.024624,295.9,144
958,14.540038,46.023499,295.0,141
977,14.540789,46.022381,293.8,141
997,14.541526,46.021158,293.0,142
1015,14.54225,46.020102,294.6,140
1032,14.542798,46.019101,294.9,141
1053,14.543328,46.017816,293.8,140
1068,14.543549,46.016892,293.0,135
1078,14.543595,46.016338,293.7,130
1080,14.543596,46.016274,293.8,129
1087,14.543573,46.016228,293.8,123
1088,14.543574,46.016226,293.8,123
1089,14.543574,46.016226,293.8,123
1091,14.543574,46.016226,293.8,123
1095,14.543599,46.016014,293.8,123
1100,14.543607,46.015698,293.7,128
1105,14.54359,46.01537,293.8,133
1117,14.543458,46.014592,296.6,138
1127,14.543177,46.013938,299.7,140
1141,14.542736,46.013015,296.5,145
1155,14.542699,46.012054,293.4,143
1170,14.54296,46.011064,292.6,141
1191,14.54361,46.009812,291.5,139
1192,14.543644,46.009757,291.2,139
1205,14.544321,46.009004,292.1,142
1217,14.545001,46.008377,292.5,144
1229,14.54569,46.007711,291.8,146
1238,14.546207,46.007394,292.4,141
1245,14.546599,46.007213,293.5,135
1259,14.54761,46.006844,294.1,132
1278,14.549064,46.006256,292.2,131
1289,14.549899,46.005782,293.8,136
1306,14.551041,46.005003,292.5,141
1328,14.552506,46.003971,293.9,141
1339,14.553133,46.003372,295.5,142
1357,14.553825,46.002389,295.4,139
1376,14.554447,46.001362,294.7,137
1377,14.554471,46.001331,294.7,137
1380,14.554484,46.001269,294.7,134
1389,14.554742,46.000872,293.9,131
1399,14.555103,46.00023,293.5,136
1412,14.555509,45.999459,294.5,131
1426,14.555947,45.998643,292.9,129
1441,14.556474,45.997898,292.7,125
1447,14.556734,45.997655,292.4,120
1452,14.556975,45.997476,292.1,115
1455,14.557138,45.997378,292.0,114
1470,14.558191,45.996884,291.6,114
1478,14.558779,45.996613,292.4,119
1488,14.559522,45.996243,292.8,124
1492,14.559812,45.996075,293.3,129
1500,14.560321,45.995702,293.2,135
1518,14.561252,45.994739,297.6,140
1543,14.562271,45.99328,294.4,137
1566,14.56333,45.99197,294.7,137
1583,14.564409,45.991181,296.1,134
1600,14.565582,45.990464,295.8,129
1616,14.566368,45.989605,296.2,128
1623,14.566601,45.989243,295.8,126
1633,14.566748,45.988979,295.6,121
1637,14.566819,45.988866,295.5,115
1639,14.566859,45.988816,295.6,110
1640,14.566879,45.988789,295.6,110
1652,14.567132,45.988429,295.5,110
1666,14.567624,45.988007,295.3,108
1675,14.568018,45.987679,294.2,107
