Duracion,Longitud,Latitud,Elevacion,PC
0,14.547987,46.047975,287.8,134
7,14.54793,46.047702,288.8,131
13,14.547889,46.047548,289.4,127
19,14.547817,46.04749,289.7,123
22,14.547807,46.047488,289.7,121
23,14.547807,46.047488,289.7,121
56,14.547807,46.047488,289.7,121
57,14.547827,46.047457,289.8,84
60,14.547887,46.047389,289.9,89
61,14.547935,46.047372,289.9,89
62,14.548001,46.047367,289.9,90
65,14.548233,46.047359,289.8,97
67,14.548403,46.047347,289.7,102
68,14.548491,46.04734,289.6,109
71,14.548758,46.047318,289.4,114
83,14.549793,46.047197,289.4,119
96,14.550921,46.046998,289.5,121
104,14.551614,46.046863,288.7,126
115,14.552601,46.046673,288.0,131
129,14.553884,46.046442,288.6,127
136,14.55451,46.046328,288.9,122
151,14.555886,46.046078,286.9,122
162,14.556905,46.04589,285.6,122
177,14.558305,46.045633,285.2,122
191,14.559614,46.045396,286.9,125
200,14.560458,46.045267,285.0,123
208,14.561217,46.045202,285.7,124
220,14.56236,46.045138,285.7,127
233,14.563576,46.04508,285.9,129
245,14.56472,46.045021,285.4,134
258,14.565969,46.044958,283.3,138
268,14.566929,46.04488,282.7,139
282,14.568277,46.044731,283.7,139
296,14.569632,46.044583,283.0,139
307,14.570688,46.044466,283.4,134
320,14.571901,46.044276,283.1,134
333,14.57307,46.044099,282.1,130
340,14.573701,46.044009,281.3,130
348,14.574374,46.043904,281.9,126
351,14.574635,46.043864,282.2,126
355,14.574957,46.04379,282.5,124
363,14.575607,46.043705,283.0,122
368,14.575992,46.043637,283.0,120
372,14.576154,46.043567,283.0,117
376,14.57615,46.043553,283.0,107
377,14.57615,46.043551,283.0,107
378,14.576151,46.043549,283.0,107
379,14.576151,46.043549,283.0,107
392,14.576151,46.043549,283.0,107
394,14.576267,46.043598,283.0,104
397,14.576431,46.043589,282.5,105
405,14.576899,46.043515,281.2,108
406,14.576973,46.043501,281.0,108
411,14.577368,46.04343,281.1,111
416,14.577776,46.043386,281.8,117
421,14.578105,46.04334,282.2,116
424,14.578166,46.04333,282.3,114
425,14.578188,46.043328,282.3,114
426,14.578211,46.043327,282.4,114
439,14.578233,46.043325,282.4,114
440,14.578256,46.043324,282.4,102
444,14.578492,46.043291,282.8,105
448,14.578809,46.043244,283.1,111
450,14.578983,46.043229,282.6,116
460,14.579883,46.043092,281.1,122
473,14.581064,46.042899,281.8,123
484,14.582087,46.042719,281.8,128
493,14.582888,46.042491,280.1,132
504,14.583844,46.042133,281.0,132
512,14.58455,46.041951,282.0,129
519,14.585199,46.041878,281.8,131
526,14.585865,46.041871,280.5,132
531,14.586308,46.041757,279.3,130
532,14.586384,46.041715,279.3,130
542,14.58707,46.041242,279.0,130
553,14.587799,46.040689,278.2,129
563,14.588463,46.04022,279.7,130
572,14.58918,46.039879,280.5,128
583,14.590035,46.039427,279.7,131
593,14.590783,46.038982,279.1,136
597,14.591058,46.038785,279.2,138
602,14.591266,46.038476,278.4,138
606,14.59149,46.038257,278.1,137
619,14.592472,46.03766,279.2,138
626,14.59302,46.037385,280.4,139
635,14.593817,46.037062,279.0,138
646,14.594694,46.036614,278.2,135
656,14.595474,46.036192,277.1,136
662,14.59601,46.036029,277.8,138
670,14.59674,46.035859,278.6,137
679,14.597541,46.035625,278.8,140
689,14.598432,46.035417,279.6,141
696,14.599036,46.035238,280.3,141
705,14.59979,46.034934,280.0,146
713,14.600438,46.034673,280.2,144
721,14.601109,46.034428,279.8,142
725,14.601446,46.034324,279.7,140
732,14.601924,46.034065,279.4,133
743,14.602678,46.033626,279.7,133
751,14.603249,46.033321,280.2,134
757,14.60361,46.033022,281.3,135
765,14.603987,46.032597,283.0,134
773,14.604339,46.032169,284.3,135
781,14.60461,46.031708,284.7,136
782,14.60465,46.03165,284.9,136
789,14.605013,46.031277,286.1,138
791,14.605092,46.031161,286.2,138
795,14.605144,46.030911,285.7,139
799,14.605145,46.030655,285.0,139
803,14.605247,46.030405,284.6,141
808,14.605469,46.030129,284.7,146
819,14.605946,46.029541,286.1,149
830,14.60639,46.028961,287.2,149
839,14.606787,46.028489,288.4,146
844,14.607017,46.028226,288.8,144
851,14.607195,46.027808,288.0,142
