Duracion,Longitud,Latitud,Elevacion,PC
0,14.479913,46.07607,308.2,85
1,14.479899,46.076072,308.2,85
6,14.479753,46.076048,308.0,90
8,14.4797,46.076026,307.9,95
12,14.479553,46.07597,307.7,102
13,14.47952,46.075959,307.7,104
18,14.479329,46.075882,307.6,111
23,14.479137,46.075811,307.5,115
28,14.479137,46.075811,307.5,120
31,14.478859,46.075695,307.3,121
37,14.478665,46.07562,307.1,124
41,14.478542,46.075583,306.9,125
45,14.478405,46.07554,306.6,126
51,14.478183,46.075456,306.3,127
58,14.477938,46.075363,306.0,127
63,14.47777,46.075286,306.0,128
68,14.477655,46.075168,306.1,128
74,14.477476,46.075048,306.3,129
80,14.477276,46.074969,306.6,129
85,14.477099,46.07491,307.0,130
91,14.476867,46.074836,307.1,128
92,14.476831,46.074819,307.1,128
96,14.476698,46.074778,307.1,128
99,14.476585,46.074748,307.1,127
107,14.47631,46.0748,307.2,130
112,14.476123,46.07486,307.3,130
117,14.475925,46.074906,307.2,129
122,14.47571,46.074927,307.1,128
127,14.475514,46.074885,307.0,128
133,14.475308,46.074755,307.0,128
139,14.475107,46.074675,306.8,127
145,14.474896,46.07461,306.4,129
151,14.474658,46.074536,306.0,130
157,14.474414,46.074456,305.5,130
163,14.474163,46.074384,305.1,130
168,14.47395,46.074364,304.8,130
173,14.473724,46.074369,304.6,128
179,14.473481,46.074387,305.6,126
184,14.473303,46.074388,306.3,127
186,14.473225,46.074374,306.7,127
190,14.473054,46.074379,307.4,127
192,14.472974,46.074378,307.7,128
198,14.472735,46.074403,308.3,128
203,14.472514,46.074415,308.7,128
210,14.47222,46.074429,309.3,129
215,14.471985,46.074443,309.2,127
221,14.471746,46.074412,308.6,127
226,14.471547,46.074355,308.2,126
231,14.471355,46.07432,307.6,125
232,14.471313,46.074319,307.5,125
239,14.471028,46.074294,307.3,126
243,14.471028,46.074294,307.3,126
250,14.470731,46.07409,307.7,127
255,14.470635,46.073952,308.1,126
260,14.470508,46.07384,308.6,127
265,14.47038,46.073735,308.9,129
266,14.470358,46.073725,308.8,128
269,14.470358,46.073725,308.8,128
276,14.470068,46.073903,307.4,129
281,14.469882,46.073954,306.8,131
284,14.469749,46.073958,306.4,131
288,14.469582,46.07398,306.0,132
294,14.469319,46.073981,305.9,131
298,14.469146,46.073982,305.8,131
303,14.468958,46.073995,305.7,131
495,14.468505,46.073861,305.6,90
496,14.468466,46.07386,305.6,91
497,14.468421,46.073862,305.7,91
502,14.468198,46.073872,306.0,97
505,14.468067,46.073865,306.1,102
506,14.468029,46.07385,306.1,103
511,14.467913,46.073725,306.1,109
514,14.46786,46.073645,306.3,114
520,14.467736,46.0735,306.7,118
525,14.46762,46.073351,307.0,120
531,14.467496,46.073181,307.2,124
537,14.467365,46.073001,307.3,128
543,14.467226,46.072833,307.1,130
548,14.467131,46.072689,307.0,131
553,14.467019,46.07256,307.0,131
557,14.467007,46.072482,307.0,129
558,14.467013,46.072466,307.0,128
562,14.467139,46.072401,306.9,125
568,14.467379,46.07231,306.6,126
573,14.467569,46.07224,306.2,126
