Duracion,Longitud,Latitud,Elevacion,PC
0,14.600292,46.089024,279.8,84
1,14.600295,46.089015,279.8,84
5,14.600282,46.088903,280.3,86
9,14.60028,46.088767,280.9,91
12,14.600287,46.088673,280.6,96
14,14.600285,46.088615,280.3,105
16,14.600267,46.088561,280.1,114
18,14.600224,46.088535,279.9,116
20,14.600126,46.088504,279.7,121
26,14.599856,46.088453,279.3,124
30,14.599692,46.088432,279.1,126
37,14.599421,46.088394,278.9,128
41,14.599265,46.08838,278.8,128
44,14.599153,46.08837,278.8,129
49,14.598942,46.088328,278.5,130
55,14.598687,46.088312,278.2,131
61,14.598428,46.088315,277.8,131
66,14.598222,46.088338,277.6,130
72,14.597961,46.088379,277.4,129
78,14.597708,46.088426,277.3,129
85,14.597419,46.088474,277.0,133
91,14.597161,46.088486,276.6,134
97,14.596896,46.088481,276.2,135
103,14.596618,46.088476,275.8,135
108,14.596397,46.088499,275.7,136
114,14.596162,46.088542,275.8,136
120,14.595908,46.088595,276.3,136
126,14.595646,46.088653,276.7,137
131,14.59545,46.088713,276.9,137
137,14.59522,46.088785,276.7,137
143,14.594995,46.088855,276.6,137
149,14.594776,46.088912,276.6,137
155,14.594526,46.088978,276.8,137
161,14.594271,46.089045,277.0,136
167,14.594005,46.089112,277.0,136
172,14.593808,46.089159,277.0,137
178,14.593536,46.089204,276.8,137
183,14.593334,46.089229,276.5,137
187,14.593152,46.089236,276.1,137
194,14.592851,46.089259,275.7,137
199,14.592594,46.089265,276.0,136
204,14.592361,46.089255,276.2,137
209,14.592138,46.089235,276.3,137
215,14.591883,46.089186,276.7,138
220,14.591666,46.089134,277.1,137
226,14.591394,46.089073,277.7,137
231,14.591169,46.089023,278.0,138
237,14.590911,46.088969,278.0,138
243,14.590661,46.088921,278.0,138
248,14.590453,46.088886,278.1,138
254,14.590203,46.088844,278.2,139
260,14.589939,46.088781,278.1,139
266,14.589677,46.088719,277.9,140
272,14.589399,46.088675,278.4,140
278,14.58911,46.088661,279.4,140
283,14.588881,46.088671,280.2,139
288,14.588658,46.08866,280.7,140
293,14.588439,46.088609,280.9,139
299,14.588188,46.088531,281.2,141
304,14.587987,46.088447,281.5,141
310,14.587746,46.088343,281.5,141
316,14.587528,46.088245,281.3,141
322,14.58727,46.088164,281.0,141
328,14.586985,46.088119,280.6,141
333,14.586754,46.088168,280.4,141
337,14.586604,46.088236,280.4,142
343,14.58638,46.088339,280.2,143
349,14.586157,46.088447,280.4,144
354,14.58596,46.088539,280.9,144
359,14.585747,46.088628,281.6,144
365,14.5855,46.088722,282.6,144
371,14.58525,46.088833,282.8,145
