Duracion,Longitud,Latitud,Elevacion,PC
0,14.480259,46.075213,307.3,93
1,14.480246,46.07518,307.2,93
5,14.480168,46.07501,306.7,93
9,14.480081,46.074808,306.1,93
13,14.479996,46.074593,305.5,91
14,14.479993,46.074539,305.6,90
17,14.480102,46.074409,305.9,86
20,14.480103,46.074243,306.2,87
21,14.480075,46.074184,306.4,87
24,14.480006,46.074011,306.9,92
25,14.479987,46.073958,307.0,94
29,14.480014,46.073726,307.4,100
32,14.480101,46.073552,307.0,103
34,14.480081,46.073433,307.1,102
38,14.47998,46.073193,307.2,100
41,14.479901,46.073011,307.3,99
44,14.479824,46.072828,307.2,96
47,14.479743,46.072648,306.8,94
49,14.479693,46.072534,306.5,94
53,14.479662,46.072458,306.3,97
54,14.479647,46.072426,306.2,98
57,14.479588,46.07228,305.7,103
60,14.479512,46.072098,305.1,107
63,14.479433,46.071911,304.9,111
66,14.479359,46.071725,304.7,113
69,14.479284,46.07154,304.5,113
73,14.479284,46.07154,304.5,110
77,14.478953,46.071088,304.2,107
80,14.478807,46.070942,304.4,106
84,14.47861,46.070907,304.1,104
85,14.478556,46.070934,303.9,103
86,14.478495,46.070975,303.7,102
89,14.4783,46.071112,303.1,103
92,14.478113,46.071256,302.5,106
95,14.477942,46.071407,302.4,110
98,14.477777,46.071565,303.0,110
101,14.477627,46.071728,303.6,108
104,14.477489,46.071897,304.2,107
107,14.477361,46.072072,304.6,107
110,14.477241,46.072252,305.3,108
113,14.477117,46.072434,305.8,108
116,14.476992,46.072615,306.4,106
119,14.476871,46.072796,307.0,105
122,14.476747,46.072982,307.5,104
125,14.476625,46.073168,307.7,104
128,14.476497,46.073354,307.9,103
131,14.476367,46.073546,308.0,103
134,14.476235,46.073737,308.0,101
137,14.476109,46.073919,307.7,101
140,14.47595,46.074107,307.4,103
143,14.475823,46.07431,307.2,108
146,14.475679,46.0745,307.0,112
149,14.475519,46.074686,307.0,113
152,14.475345,46.074871,307.0,113
155,14.475166,46.075048,307.2,113
158,14.474976,46.075221,307.7,114
161,14.474788,46.075397,308.5,113
164,14.474599,46.075571,309.0,113
167,14.474407,46.075746,309.0,113
170,14.474222,46.075928,309.0,113
173,14.474054,46.076108,309.0,111
174,14.474,46.076165,309.0,111
177,14.473837,46.07633,308.9,111
180,14.473688,46.07648,308.6,112
184,14.473497,46.076662,308.2,113
188,14.473317,46.076846,307.8,113
190,14.473241,46.076922,307.6,113
195,14.473161,46.077038,307.3,105
198,14.473003,46.077169,307.2,103
199,14.472952,46.077216,307.2,104
203,14.472766,46.077429,307.6,107
204,14.472716,46.077486,307.7,106
207,14.472553,46.077666,308.0,104
210,14.472382,46.077858,308.0,101
213,14.472213,46.078054,307.5,98
216,14.472053,46.078251,306.8,95
219,14.471896,46.078441,306.5,93
222,14.471744,46.078623,306.2,93
224,14.471581,46.0788,306.4,95
227,14.471442,46.078988,307.5,96
230,14.471316,46.079173,308.4,97
233,14.471184,46.079353,309.2,97
236,14.471058,46.079531,309.8,96
239,14.470941,46.079709,309.8,96
242,14.470821,46.079881,309.6,95
245,14.470707,46.080051,309.4,96
248,14.470599,46.080215,309.2,96
251,14.470484,46.080378,309.0,100
255,14.470341,46.080586,308.6,103
259,14.470211,46.080783,308.3,100
263,14.470087,46.080976,308.2,100
264,14.470072,46.081022,308.1,100
265,14.470071,46.081066,308.1,99
270,14.469876,46.081291,308.4,97
271,14.469831,46.081347,308.7,99
274,14.469709,46.081512,309.4,103
276,14.469622,46.081622,309.8,108
279,14.469493,46.081783,310.5,107
282,14.469366,46.081948,311.2,104
285,14.469239,46.082112,311.9,103
288,14.469114,46.082279,312.3,104
290,14.469034,46.082391,312.6,104
291,14.468993,46.082448,312.7,104
294,14.468874,46.082611,312.9,105
297,14.468755,46.082777,313.0,106
300,14.468635,46.082941,313.0,104
303,14.468519,46.08311,313.5,100
306,14.468418,46.083277,314.0,100
309,14.468315,46.083444,314.3,101
312,14.468209,46.083614,314.6,101
315,14.468098,46.083785,314.7,102
318,14.467969,46.083943,314.8,103
321,14.467821,46.08409,315.2,104
324,14.467652,46.08423,315.7,106
327,14.467454,46.084349,316.2,108
331,14.467172,46.084486,316.6,105
335,14.466893,46.084616,316.6,102
339,14.466614,46.084742,316.0,101
343,14.466358,46.084862,315.3,99
347,14.466081,46.084991,315.2,101
350,14.465865,46.085089,315.5,106
354,14.465585,46.085228,315.8,109
358,14.465344,46.085398,316.0,111
362,14.465154,46.085592,317.0,113
365,14.465052,46.085749,317.8,112
370,14.464965,46.086016,319.2,112
373,14.464965,46.086016,319.2,111
376,14.464928,46.086329,321.0,112
381,14.464859,46.086577,322.7,116
385,14.464778,46.086769,324.2,122
388,14.464706,46.08689,325.2,127
389,14.464685,46.086923,325.5,128
391,14.464657,46.08698,326.0,128
396,14.464477,46.087068,327.0,124
399,14.464262,46.087033,327.0,123
404,14.463872,46.086956,326.8,120
407,14.46361,46.086936,326.8,118
410,14.463347,46.086923,326.7,115
413,14.463068,46.086916,326.8,114
416,14.462796,46.086919,326.6,112
419,14.462513,46.086921,326.1,112
422,14.462233,46.086919,325.7,113
425,14.461953,46.086895,325.6,112
428,14.461676,46.086857,326.2,111
429,14.461676,46.086857,326.2,111
433,14.461234,46.086749,326.8,106
436,14.460987,46.086672,326.5,105
439,14.460735,46.0866,326.4,109
442,14.460485,46.086527,326.3,113
445,14.460237,46.086451,328.2,115
448,14.459975,46.086374,330.6,115
451,14.459712,46.08629,332.3,111
453,14.459546,46.086222,332.9,106
456,14.45931,46.086104,332.8,102
459,14.459086,46.085978,332.4,101
462,14.458867,46.085834,331.7,99
465,14.458665,46.085678,331.3,99
468,14.458462,46.085519,331.9,95
471,14.458254,46.08536,333.0,95
474,14.458048,46.085212,334.0,95
477,14.457852,46.085051,335.1,98
480,14.457683,46.084888,336.6,98
483,14.457526,46.084724,337.6,100
486,14.457338,46.08458,339.1,104
489,14.457124,46.084461,343.1,109
492,14.456894,46.084338,345.5,114
493,14.456814,46.084306,346.0,116
496,14.456593,46.084196,347.0,116
497,14.456512,46.084155,347.2,116
500,14.456247,46.084057,347.5,116
504,14.455869,46.083874,344.3,119
507,14.455553,46.083727,340.3,121
510,14.455238,46.083566,338.4,117
512,14.455031,46.083471,336.8,112
515,14.454691,46.083342,333.2,108
518,14.454358,46.083221,330.8,105
520,14.454129,46.083137,329.7,105
523,14.453785,46.083017,327.8,105
526,14.453434,46.082911,327.0,104
529,14.453084,46.082822,326.2,102
532,14.452722,46.082761,326.2,99
535,14.452386,46.082714,326.6,99
538,14.452066,46.082642,326.4,100
541,14.451767,46.082539,325.2,101
544,14.451461,46.082416,324.0,99
547,14.451152,46.08227,322.9,99
549,14.450953,46.082185,322.3,99
553,14.450502,46.082075,322.0,97
556,14.450152,46.082022,322.7,94
559,14.44982,46.081982,322.9,97
562,14.449484,46.081968,322.8,97
563,14.449373,46.081969,322.9,97
565,14.449145,46.081976,323.1,96
568,14.448823,46.081985,323.5,97
571,14.448493,46.081972,322.9,97
574,14.448172,46.081972,322.3,98
577,14.447847,46.082004,322.0,98
580,14.447535,46.082051,322.8,99
583,14.44724,46.082105,323.8,101
586,14.446953,46.082142,324.5,103
589,14.446667,46.082161,325.1,106
592,14.446395,46.082161,325.4,109
596,14.446056,46.082142,325.5,113
600,14.445722,46.08211,325.2,118
603,14.445465,46.082074,324.9,123
606,14.445183,46.082047,324.7,127
609,14.444887,46.082063,324.9,124
612,14.444697,46.082102,325.1,118
613,14.444508,46.082141,325.2,118
615,14.444318,46.08218,325.1,115
616,14.444226,46.082197,325.0,115
620,14.443859,46.082216,324.5,115
622,14.443676,46.08219,324.1,116
625,14.443416,46.082141,323.9,117
629,14.443019,46.082182,324.5,115
632,14.44274,46.082323,325.6,112
633,14.44263,46.082352,325.9,111
634,14.4425,46.082338,325.9,110
637,14.442149,46.082238,326.1,107
638,14.442061,46.082194,326.2,106
642,14.441688,46.081972,328.0,104
645,14.441448,46.081812,329.6,103
648,14.441223,46.081658,331.2,103
651,14.441017,46.081507,332.6,100
652,14.440969,46.081458,332.8,100
655,14.4409,46.081281,333.4,100
659,14.440995,46.081078,334.4,104
660,14.441037,46.081033,334.6,105
665,14.441235,46.080833,335.1,112
667,14.441292,46.080747,335.2,116
672,14.441353,46.080518,336.0,122
675,14.44135,46.080374,337.1,125
679,14.441258,46.080194,340.2,127
680,14.441211,46.080157,341.0,128
684,14.440965,46.08009,343.8,130
687,14.440761,46.080075,345.6,132
692,14.440479,46.07996,349.7,135
696,14.440402,46.079784,353.5,138
697,14.440396,46.079737,354.3,139
701,14.440386,46.079551,357.1,137
705,14.440405,46.079365,356.8,136
709,14.440473,46.079194,356.3,135
715,14.440599,46.07894,356.3,135
716,14.44062,46.0789,356.4,135
719,14.440675,46.078767,356.9,136
725,14.440672,46.078493,358.0,135
726,14.440656,46.078448,358.1,135
730,14.440564,46.078278,357.9,133
734,14.440464,46.078097,357.3,130
735,14.440434,46.078048,357.0,130
739,14.440319,46.077864,356.6,126
740,14.440284,46.07782,356.3,125
744,14.440086,46.077669,354.7,121
745,14.440028,46.077638,354.2,119
747,14.439919,46.077587,353.1,117
750,14.439785,46.077494,351.4,114
764,14.439697,46.077315,348.8,103
765,14.439699,46.07729,348.6,104
766,14.4397,46.077261,348.3,105
770,14.439735,46.077074,346.8,109
773,14.439804,46.076894,347.0,108
776,14.439874,46.076706,346.6,104
779,14.43993,46.076511,345.6,101
780,14.439938,46.07644,345.1,100
783,14.439876,46.076242,344.3,94
786,14.439674,46.076091,345.6,91
789,14.439426,46.076015,347.0,92
790,14.439336,46.076004,347.5,94
792,14.439176,46.075988,348.5,98
794,14.439028,46.075979,349.4,103
796,14.438869,46.075975,350.3,108
800,14.438582,46.075991,351.5,112
802,14.438432,46.076006,351.9,115
806,14.438167,46.07607,351.5,122
809,14.437968,46.07612,350.7,127
812,14.437772,46.076178,351.3,135
816,14.437519,46.076246,352.8,138
820,14.437258,46.076302,356.2,142
824,14.437018,46.076326,359.6,144
830,14.436677,46.076261,366.2,147
831,14.436621,46.076236,367.7,147
834,14.436482,46.076163,371.9,149
840,14.436259,46.075967,379.6,151
841,14.436231,46.075933,380.4,150
846,14.436131,46.075744,383.4,150
849,14.43608,46.07563,384.7,151
852,14.43608,46.07563,384.7,151
855,14.435983,46.075401,386.2,152
860,14.435807,46.075251,383.1,152
861,14.435753,46.075233,382.0,151
863,14.435636,46.075221,379.7,151
866,14.435468,46.075294,376.5,151
867,14.435418,46.075328,375.7,151
870,14.435294,46.075418,373.5,150
876,14.435078,46.075624,371.0,151
881,14.43491,46.075792,369.9,151
886,14.434754,46.075954,369.7,151
891,14.434615,46.076143,370.7,149
896,14.434458,46.076333,371.2,145
900,14.434329,46.07649,371.6,143
904,14.434206,46.07665,372.5,141
908,14.434085,46.076819,373.8,137
912,14.433955,46.077001,375.5,132
913,14.433927,46.077042,376.0,132
916,14.433822,46.077174,376.8,131
920,14.433672,46.077343,378.2,128
924,14.433517,46.077522,379.6,128
925,14.433481,46.077568,379.9,127
930,14.433259,46.077794,380.9,124
934,14.433083,46.077973,381.3,123
938,14.432897,46.078151,382.6,118
942,14.432706,46.078329,385.1,115
943,14.432661,46.078374,385.7,114
948,14.432373,46.078562,387.9,113
