Duracion,Longitud,Latitud,Elevacion,PC
0,14.47801,46.069248,303.8,91
1,14.478033,46.069273,303.8,91
7,14.478186,46.069474,303.5,91
11,14.478349,46.069635,303.6,93
14,14.478502,46.069783,303.9,96
18,14.478695,46.069956,304.4,99
22,14.478873,46.07013,304.7,101
27,14.479107,46.070336,304.9,100
30,14.479225,46.070453,305.0,97
34,14.479384,46.070616,304.8,91
35,14.479416,46.070655,304.7,90
38,14.479476,46.07073,304.6,87
43,14.479474,46.070747,304.6,87
47,14.479371,46.070858,304.5,89
50,14.479152,46.07094,304.4,97
53,14.478968,46.071018,304.3,102
56,14.478768,46.071114,304.2,107
62,14.478338,46.071319,303.2,107
63,14.478275,46.071359,303.1,107
67,14.478041,46.071531,303.0,110
71,14.477812,46.071704,303.3,113
75,14.477607,46.071867,303.9,114
79,14.47742,46.072046,304.5,113
80,14.477374,46.072098,304.7,113
83,14.47725,46.072264,305.3,113
86,14.477135,46.07244,305.8,113
88,14.477053,46.072552,306.2,114
92,14.476886,46.07277,306.9,116
95,14.476768,46.07293,307.4,118
99,14.476625,46.073135,307.7,120
103,14.476487,46.073342,307.9,120
107,14.476349,46.073553,308.0,120
110,14.476238,46.07372,308.0,119
114,14.476091,46.073938,307.6,119
118,14.475943,46.074155,307.3,119
120,14.475854,46.074269,307.2,119
124,14.475705,46.074513,307.0,117
127,14.475574,46.074683,307.0,119
130,14.475435,46.074857,307.0,120
133,14.475278,46.075028,307.1,121
134,14.475224,46.075083,307.2,121
137,14.475054,46.075229,307.6,122
141,14.474846,46.075417,308.4,123
144,14.474677,46.075573,308.8,122
147,14.474504,46.07573,309.0,122
150,14.474337,46.075882,309.0,121
152,14.474231,46.075976,309.0,120
155,14.474102,46.076141,309.0,119
159,14.473887,46.076345,308.9,119
163,14.473709,46.076519,308.6,118
164,14.473674,46.076562,308.5,117
167,14.473564,46.076656,308.3,116
170,14.473457,46.07674,308.1,116
174,14.473281,46.076947,307.6,120
178,14.473135,46.07712,307.3,123
179,14.473084,46.07717,307.3,123
180,14.473035,46.077225,307.3,125
185,14.472787,46.077498,307.7,125
188,14.472615,46.077688,307.9,124
191,14.472453,46.077878,308.0,122
194,14.472259,46.078093,307.4,117
197,14.472114,46.078267,306.8,115
