Duracion,Longitud,Latitud,Elevacion,PC
0,14.945435,46.541633,436.0,85
1,14.945435,46.541633,436.0,85
7,14.945439,46.541678,436.0,82
9,14.94543,46.541722,436.0,82
12,14.945446,46.541843,432.4,82
13,14.94545,46.541877,432.4,82
16,14.945488,46.542019,432.4,81
17,14.945561,46.542044,432.4,80
20,14.945802,46.542046,432.4,79
21,14.94588,46.542049,432.4,77
23,14.946001,46.542116,432.0,76
24,14.946027,46.54216,431.6,75
25,14.946062,46.542209,431.2,75
26,14.946126,46.542238,430.8,74
27,14.946203,46.542247,430.4,74
30,14.946464,46.542191,429.8,73
31,14.946575,46.542175,429.2,73
32,14.946688,46.542162,428.4,73
33,14.946799,46.542171,427.6,72
34,14.94692,46.542174,427.0,72
35,14.947052,46.54218,426.0,71
36,14.947191,46.542189,425.2,70
37,14.947331,46.542204,424.2,70
38,14.947475,46.54223,424.2,70
39,14.94761,46.542257,423.2,70
40,14.947756,46.542273,422.2,69
41,14.947909,46.542281,421.2,69
42,14.948062,46.54229,420.0,68
43,14.948227,46.542297,419.0,67
44,14.948395,46.542309,416.0,67
45,14.948558,46.542337,414.6,66
47,14.948863,46.542398,412.6,65
48,14.949025,46.542406,411.4,65
49,14.949183,46.542402,410.2,64
50,14.94933,46.542379,410.2,64
51,14.949472,46.542354,407.8,64
52,14.949612,46.542325,407.8,64
53,14.949745,46.542299,406.6,64
54,14.949876,46.542281,406.6,65
59,14.950459,46.542243,407.2,65
60,14.950557,46.542251,407.6,65
61,14.950658,46.542251,408.0,65
62,14.950765,46.542249,408.4,65
63,14.950859,46.542248,409.0,65
66,14.951149,46.542265,409.0,64
72,14.951655,46.542303,409.0,66
79,14.952158,46.542315,409.0,70
82,14.952352,46.542328,409.0,73
84,14.95249,46.542331,409.0,74
87,14.952698,46.542332,409.0,75
90,14.952919,46.542343,409.0,76
95,14.95329,46.54233,409.0,79
96,14.953353,46.542335,409.0,80
97,14.953406,46.54233,409.0,80
100,14.953545,46.542322,409.0,83
102,14.953638,46.542323,409.0,86
105,14.953742,46.542333,409.4,89
106,14.953775,46.542332,409.8,89
107,14.953801,46.542332,410.2,90
108,14.953838,46.542329,410.6,92
109,14.953879,46.542327,411.2,92
112,14.954011,46.54231,411.2,96
113,14.95406,46.542317,411.6,97
114,14.954095,46.542323,412.0,98
115,14.954132,46.542326,412.4,99
116,14.954166,46.542331,412.8,100
117,14.954211,46.542336,413.2,101
119,14.954309,46.54235,413.2,103
121,14.954402,46.542346,413.2,106
124,14.954542,46.542309,413.6,109
125,14.954596,46.542319,414.0,110
126,14.954635,46.542318,414.6,111
127,14.954675,46.542312,415.0,112
128,14.954723,46.542307,415.4,113
132,14.954898,46.542294,415.8,116
133,14.95493,46.542287,416.2,116
134,14.954982,46.542273,416.6,117
135,14.955014,46.542262,417.0,117
136,14.955041,46.542257,417.4,118
141,14.955221,46.542233,417.4,119
144,14.955344,46.542201,418.0,119
145,14.955385,46.542196,418.4,121
146,14.955417,46.542197,418.8,121
147,14.955447,46.542195,419.2,120
148,14.95547,46.542194,419.6,120
150,14.955534,46.542159,419.6,120
152,14.955586,46.542138,419.6,120
157,14.955922,46.542026,420.2,120
158,14.955968,46.542002,420.6,120
159,14.956026,46.541977,421.0,119
160,14.956089,46.541953,421.4,120
161,14.956139,46.541935,421.8,119
162,14.956197,46.541908,421.8,119
164,14.956282,46.541876,421.8,119
168,14.956499,46.541826,421.8,117
174,14.956873,46.541865,421.8,115
177,14.957045,46.541896,421.8,112
179,14.957133,46.54194,421.8,111
183,14.957235,46.542076,421.8,108
186,14.957374,46.542177,421.8,105
187,14.957444,46.542223,421.4,103
188,14.957533,46.542278,420.8,100
189,14.957624,46.542333,420.2,99
190,14.957728,46.542388,419.4,97
191,14.957833,46.542444,418.6,96
192,14.957939,46.542505,417.8,93
193,14.958049,46.542562,417.0,92
194,14.958154,46.542613,416.0,92
195,14.95827,46.542672,415.0,90
196,14.958393,46.54274,413.8,90
197,14.958511,46.542805,412.6,88
198,14.958637,46.542873,411.2,86
199,14.958779,46.542951,409.6,85
200,14.958917,46.543018,408.2,84
201,14.959059,46.54308,406.8,82
202,14.959198,46.543135,405.4,83
203,14.959315,46.543179,404.0,83
204,14.959421,46.543221,402.6,81
205,14.959508,46.543261,401.2,80
206,14.959561,46.543304,399.8,79
208,14.959601,46.543348,399.8,77
210,14.959628,46.543394,399.4,76
211,14.959633,46.543416,399.0,78
212,14.959647,46.543439,398.6,78
213,14.959673,46.543457,398.2,80
214,14.959707,46.543478,397.6,82
216,14.959844,46.543515,397.6,85
218,14.959977,46.543591,397.6,87
220,14.960138,46.543685,397.2,87
221,14.960225,46.543731,396.8,85
222,14.960316,46.543775,396.2,85
223,14.96044,46.543787,395.6,83
224,14.960539,46.5438,395.0,81
225,14.960636,46.543824,394.4,80
226,14.960721,46.543829,393.8,79
227,14.960807,46.543834,393.2,78
228,14.960978,46.543845,392.6,78
229,14.961087,46.543856,392.2,76
230,14.961197,46.543874,391.8,75
231,14.961302,46.543912,391.4,74
232,14.961396,46.543958,391.0,71
233,14.961484,46.544006,390.6,70
234,14.961565,46.544075,390.2,70
235,14.961641,46.544139,389.8,69
236,14.961707,46.544203,389.2,68
237,14.961762,46.544263,388.8,67
238,14.961812,46.544314,388.4,66
239,14.961862,46.544362,388.0,66
240,14.961907,46.544412,387.6,64
241,14.961953,46.544462,387.2,64
242,14.961992,46.544505,386.8,64
243,14.962008,46.544541,386.8,64
244,14.962012,46.544573,386.8,64
246,14.961964,46.544628,387.2,63
247,14.961941,46.544639,387.6,63
248,14.961925,46.54465,388.0,63
249,14.961914,46.544659,388.4,64
250,14.961903,46.544674,388.8,65
252,14.961841,46.544694,388.8,66
255,14.96179,46.544763,388.8,66
256,14.961812,46.544791,388.8,67
257,14.961849,46.544802,388.8,70
259,14.961943,46.544834,388.8,73
260,14.96198,46.544859,388.8,76
261,14.962012,46.544886,388.8,77
263,14.96209,46.544947,388.8,80
267,14.962314,46.545005,388.8,82
274,14.962648,46.545204,388.8,86
276,14.962671,46.545293,388.8,88
277,14.962687,46.545343,388.8,88
279,14.962724,46.545418,388.8,88
283,14.962879,46.545562,388.8,89
284,14.962934,46.545594,388.8,90
287,14.963055,46.545707,388.8,90
289,14.963111,46.545794,388.8,90
298,14.963381,46.546134,388.8,90
300,14.963416,46.546184,388.8,87
302,14.963395,46.546237,388.8,86
303,14.963384,46.546269,388.8,84
304,14.963423,46.546294,388.8,84
306,14.963491,46.546316,388.8,83
312,14.963677,46.54649,388.8,86
316,14.963842,46.546632,388.8,83
320,14.96403,46.546779,388.8,84
323,14.9642,46.546875,388.8,85
326,14.964391,46.546967,388.8,84
333,14.964836,46.547128,388.8,82
335,14.96496,46.547174,388.8,79
341,14.965384,46.547297,388.8,79
342,14.96546,46.547305,388.8,79
346,14.965751,46.54732,388.8,80
350,14.965913,46.547344,388.8,78
351,14.965932,46.547345,388.4,77
352,14.965944,46.547347,388.0,77
