Duracion,Longitud,Latitud,Elevacion,PC
0,14.945276,46.541645,460.0,68
1,14.945279,46.541647,460.0,68
6,14.945279,46.54166,460.0,71
8,14.945304,46.541721,460.0,71
9,14.94532,46.54176,460.0,72
14,14.945394,46.541954,460.0,72
15,14.945434,46.541995,460.0,72
16,14.945503,46.542015,457.2,71
17,14.945579,46.542018,457.2,71
19,14.945713,46.542012,457.2,71
21,14.945869,46.542012,457.2,71
22,14.945949,46.542026,457.2,72
24,14.946021,46.542106,457.2,73
26,14.946117,46.542173,456.8,72
27,14.946214,46.542157,456.4,71
28,14.946285,46.542141,456.0,71
29,14.946362,46.542122,455.6,71
30,14.946458,46.542109,455.0,72
31,14.946563,46.542097,454.4,72
32,14.946676,46.542108,453.8,72
33,14.946809,46.542114,453.2,72
34,14.94694,46.542125,452.6,71
35,14.947078,46.542139,451.6,71
36,14.947227,46.542153,450.4,71
37,14.947384,46.542176,449.4,70
38,14.947536,46.542199,448.4,70
39,14.947688,46.542217,447.0,68
40,14.947851,46.542231,445.8,68
41,14.948008,46.542243,444.6,67
42,14.948196,46.54226,443.2,67
43,14.948364,46.542272,442.0,67
44,14.948525,46.542288,440.6,67
45,14.948673,46.542312,439.4,67
47,14.948893,46.542361,436.8,66
48,14.948967,46.542375,436.8,66
49,14.949041,46.542396,436.8,65
50,14.949094,46.542439,436.2,65
51,14.949126,46.542474,436.2,66
52,14.949131,46.542567,435.4,66
53,14.949149,46.542637,434.8,66
54,14.94918,46.542708,434.4,66
55,14.949222,46.542787,433.8,67
56,14.94927,46.542863,433.4,68
57,14.949319,46.542944,432.8,69
58,14.949362,46.543022,432.0,69
59,14.9494,46.543101,431.4,69
60,14.949419,46.543182,430.8,69
61,14.949406,46.543224,430.2,68
62,14.94937,46.543291,429.6,68
63,14.949302,46.543343,429.2,68
64,14.949212,46.543385,428.6,68
65,14.949122,46.543422,428.0,68
68,14.94884,46.543492,428.0,71
69,14.94875,46.543515,428.0,72
73,14.948449,46.5436,428.0,75
75,14.948306,46.543643,428.0,77
78,14.948103,46.543719,428.0,80
82,14.947834,46.543803,428.0,81
87,14.947539,46.543867,428.4,83
88,14.947492,46.543875,429.0,83
89,14.94745,46.543879,429.4,82
90,14.947408,46.543882,429.8,81
91,14.947363,46.543877,430.2,79
95,14.947246,46.543896,430.2,78
98,14.947246,46.543896,430.2,79
101,14.946949,46.543934,430.2,81
104,14.946761,46.543973,430.2,84
106,14.946623,46.543988,430.2,87
109,14.946425,46.544014,430.2,90
110,14.946352,46.544018,430.2,91
115,14.945989,46.544023,430.2,94
119,14.945717,46.544033,430.6,97
120,14.945651,46.544035,431.2,97
121,14.945583,46.544038,431.6,98
122,14.945516,46.544043,432.0,98
123,14.945448,46.544046,432.4,99
125,14.945315,46.544054,432.4,100
130,14.944982,46.544075,432.4,103
139,14.944404,46.544119,432.4,105
143,14.944158,46.544137,432.4,104
146,14.943987,46.544182,432.4,103
147,14.94393,46.544202,432.4,103
150,14.943761,46.544245,432.4,99
152,14.943661,46.544259,432.4,97
154,14.943582,46.544279,432.4,94
157,14.943483,46.544296,432.4,92
158,14.943515,46.544261,432.4,91
159,14.943538,46.544248,432.4,90
162,14.943585,46.544264,432.4,87
165,14.943577,46.544328,432.4,84
169,14.943567,46.544444,432.4,86
174,14.943314,46.544499,432.4,89
176,14.94317,46.544514,432.4,88
177,14.943098,46.54452,432.4,88
182,14.942706,46.544556,432.4,86
184,14.942541,46.544602,431.8,84
185,14.942452,46.544627,431.4,84
186,14.942357,46.544649,431.0,84
187,14.942262,46.544675,430.4,84
188,14.942161,46.544701,430.0,84
191,14.941851,46.544782,429.4,83
192,14.941741,46.544811,428.8,83
193,14.941636,46.544839,428.2,83
194,14.941526,46.544869,427.8,84
195,14.941418,46.544899,427.2,84
197,14.941199,46.544962,426.8,85
198,14.94109,46.544993,426.4,86
199,14.940985,46.545026,426.0,86
200,14.940884,46.545055,425.6,86
201,14.940784,46.545084,425.2,85
203,14.940589,46.545139,424.6,83
204,14.940499,46.545166,424.2,82
205,14.940427,46.545195,423.6,80
206,14.940353,46.545221,423.2,79
207,14.940292,46.545236,422.6,77
208,14.940227,46.545222,422.6,77
212,14.939937,46.545175,422.6,80
214,14.939779,46.545156,422.6,83
217,14.939541,46.545124,422.6,86
221,14.939227,46.545067,422.6,89
222,14.939146,46.545051,422.6,89
227,14.938753,46.544997,422.6,92
231,14.938435,46.544989,422.6,95
237,14.937972,46.545035,422.6,98
240,14.937746,46.545076,422.6,100
244,14.937458,46.545133,422.6,103
249,14.937116,46.545195,423.2,105
250,14.937046,46.545209,423.6,105
251,14.93697,46.54522,424.0,105
252,14.936895,46.545229,424.4,105
253,14.936824,46.545237,424.8,105
258,14.936451,46.545261,424.8,106
265,14.93594,46.545261,425.2,107
266,14.935865,46.545257,425.8,107
267,14.93579,46.545253,426.2,107
268,14.935713,46.545252,426.6,107
269,14.93564,46.545251,427.0,107
277,14.935044,46.545241,427.0,110
282,14.934653,46.545233,427.0,111
286,14.934326,46.54522,427.0,112
287,14.934249,46.545213,427.4,112
288,14.93417,46.545208,427.8,111
289,14.934091,46.545202,428.2,111
290,14.934013,46.545194,428.6,111
291,14.933936,46.545184,429.2,111
297,14.933532,46.545099,429.2,110
303,14.933167,46.545013,429.2,107
306,14.932987,46.544972,429.2,107
310,14.932764,46.544922,429.2,104
314,14.932551,46.544875,429.2,101
316,14.932457,46.544856,429.6,100
317,14.932407,46.544844,430.0,100
318,14.932354,46.544834,430.6,100
319,14.932297,46.544824,431.0,100
320,14.932239,46.544816,431.4,100
323,14.932044,46.544793,431.4,100
326,14.931865,46.544787,431.4,100
329,14.931666,46.544796,431.4,100
334,14.931328,46.544817,431.4,101
336,14.931187,46.544806,431.4,101
339,14.930976,46.544805,431.4,101
343,14.93069,46.544839,431.4,101
348,14.930328,46.54489,431.4,99
350,14.930185,46.544926,431.4,98
356,14.929793,46.545061,431.4,96
360,14.929538,46.545157,431.4,93
363,14.929352,46.545234,431.4,93
366,14.929226,46.545273,431.4,90
367,14.929216,46.545289,431.4,88
368,14.929234,46.545313,431.4,84
370,14.929249,46.545358,431.4,82
375,14.929087,46.545427,431.4,85
380,14.92887,46.545434,431.4,87
387,14.928576,46.545492,431.4,88
391,14.928355,46.545565,431.4,85
393,14.928238,46.545598,431.4,86
402,14.927682,46.545704,431.4,87
407,14.92732,46.545748,431.4,90
410,14.9271,46.545782,431.4,92
414,14.926807,46.545834,431.4,95
419,14.926428,46.54589,431.4,98
422,14.9262,46.545916,431.4,98
426,14.925933,46.545966,431.4,101
429,14.925735,46.545996,431.4,104
430,14.925671,46.546005,431.4,104
433,14.925485,46.546029,431.8,106
434,14.925425,46.546036,432.2,106
435,14.925366,46.546042,432.6,107
436,14.925311,46.546051,433.2,107
437,14.925254,46.54606,433.6,108
441,14.925019,46.546079,433.6,109
442,14.924961,46.54608,434.0,109
443,14.924903,46.546083,434.4,109
444,14.924845,46.546087,435.0,109
445,14.924785,46.546092,435.4,109
446,14.924728,46.546097,436.0,110
452,14.924456,46.546229,436.0,110
453,14.924493,46.54629,436.0,110
454,14.924495,46.546332,436.0,111
460,14.924444,46.546623,436.0,111
465,14.924386,46.54689,436.0,108
470,14.924302,46.547153,436.0,105
473,14.92425,46.547302,436.0,102
476,14.924214,46.547454,436.0,99
478,14.92421,46.547557,436.0,96
480,14.924272,46.547641,436.0,91
481,14.924309,46.547675,436.0,89
482,14.924323,46.547705,436.0,87
484,14.924308,46.547784,436.0,86
485,14.924302,46.547825,436.0,86
489,14.924284,46.548009,436.0,89
492,14.924265,46.548157,436.0,88
494,14.924255,46.548257,436.0,85
500,14.924218,46.548518,436.0,83
506,14.924144,46.548669,436.0,85
512,14.924308,46.54875,436.4,83
513,14.92436,46.548757,436.8,84
514,14.924412,46.548765,437.2,84
515,14.924469,46.548772,437.6,86
516,14.924529,46.54878,438.0,86
518,14.924651,46.548795,438.0,87
525,14.925122,46.548864,438.0,87
534,14.925764,46.548984,438.0,86
542,14.92632,46.549098,438.0,84
547,14.926677,46.549163,438.0,87
551,14.926981,46.5492,438.0,88
557,14.927408,46.549257,438.0,91
561,14.927696,46.549294,438.0,92
562,14.927762,46.549291,438.0,92
564,14.927896,46.549291,438.6,92
565,14.927956,46.549283,439.0,91
566,14.928007,46.549274,439.4,91
567,14.928055,46.549273,439.8,91
568,14.928089,46.549288,440.4,90
570,14.928081,46.549367,440.4,90
571,14.928074,46.549398,440.4,90
577,14.928041,46.54961,440.4,93
579,14.928034,46.549679,440.8,95
