Duracion,Longitud,Latitud,Elevacion,PC
0,14.952793,46.542043,445.6,72
1,14.952793,46.542043,445.6,72
3,14.952793,46.542043,445.6,73
4,14.952793,46.542043,445.6,73
5,14.952793,46.542043,445.6,74
8,14.952793,46.542043,445.6,72
11,14.952793,46.542043,445.2,72
12,14.952793,46.542043,444.8,73
13,14.952793,46.542043,444.4,73
14,14.952793,46.542043,443.8,73
15,14.952793,46.542043,443.2,72
16,14.952793,46.542043,442.6,72
17,14.952793,46.542043,442.0,72
18,14.952793,46.542043,441.2,71
19,14.952793,46.542043,440.4,71
20,14.952793,46.542043,439.4,71
21,14.952793,46.542043,438.4,70
22,14.952793,46.542043,437.6,70
23,14.952793,46.542043,436.8,69
24,14.952793,46.542043,436.0,69
25,14.952793,46.542043,435.2,69
26,14.952793,46.542043,434.2,68
27,14.952793,46.542043,433.2,68
28,14.952793,46.542043,432.2,67
29,14.952793,46.542043,431.0,67
30,14.952793,46.542043,430.0,66
31,14.952793,46.542043,429.2,66
32,14.952793,46.542043,428.6,66
33,14.952793,46.542043,427.8,66
34,14.952793,46.542043,427.2,67
35,14.952793,46.542043,426.4,69
36,14.952793,46.542043,426.4,70
37,14.952793,46.542043,426.4,71
38,14.952793,46.542043,426.4,72
39,14.952793,46.542043,426.4,73
43,14.952793,46.542043,426.4,72
45,14.952793,46.542043,426.4,71
55,14.952793,46.542043,426.4,72
57,14.952793,46.542043,426.4,73
61,14.952793,46.542043,426.4,74
65,14.952793,46.542043,426.4,73
69,14.952793,46.542043,426.4,74
70,14.952793,46.542043,426.4,75
71,14.952793,46.542043,426.4,76
75,14.953121,46.542011,426.0,74
76,14.953199,46.542016,425.6,73
77,14.953272,46.542012,425.2,73
78,14.953335,46.541999,424.8,73
79,14.953386,46.541986,424.4,73
83,14.953561,46.541961,424.4,77
86,14.953705,46.541986,424.8,80
87,14.953746,46.541985,425.2,80
88,14.953787,46.541993,425.6,82
89,14.953819,46.542004,426.0,82
90,14.953856,46.541997,426.4,83
94,14.953984,46.541971,426.4,86
96,14.954042,46.541953,426.8,88
97,14.954077,46.541941,427.2,88
98,14.954115,46.541935,427.6,89
99,14.954152,46.541931,428.2,90
100,14.954189,46.54192,428.6,91
103,14.954272,46.541873,428.6,93
105,14.954337,46.541861,429.0,95
106,14.954388,46.541869,429.4,97
107,14.954419,46.541864,429.8,97
108,14.954457,46.541871,430.2,98
109,14.954488,46.541867,430.6,99
112,14.95459,46.541849,430.6,103
117,14.954755,46.541815,430.6,106
119,14.954822,46.541813,431.2,107
120,14.954864,46.541811,431.6,107
121,14.954901,46.541808,432.0,108
122,14.954936,46.541804,432.4,108
123,14.954978,46.54183,432.8,109
126,14.95508,46.541829,432.8,110
127,14.955108,46.541825,433.4,110
128,14.955131,46.541824,433.8,111
129,14.955168,46.541819,434.2,111
130,14.955198,46.541813,434.6,111
131,14.955218,46.541808,435.0,111
133,14.955288,46.541811,435.0,112
138,14.955525,46.541796,435.0,112
144,14.955653,46.541795,435.4,113
145,14.955689,46.541788,435.8,113
146,14.955723,46.541784,436.2,113
147,14.955764,46.541783,436.6,113
148,14.95581,46.541787,437.2,113
151,14.955933,46.54177,437.2,113
158,14.956107,46.541679,437.6,113
159,14.9561,46.541667,438.0,113
160,14.956068,46.541655,438.4,113
161,14.956059,46.541654,438.8,114
162,14.956057,46.541644,439.2,114
167,14.956056,46.541573,439.2,117
169,14.956024,46.541592,439.8,117
170,14.956,46.541594,440.2,117
171,14.955989,46.541597,440.6,117
172,14.955974,46.541598,441.0,117
173,14.95594,46.541615,441.6,117
177,14.955843,46.541651,441.6,116
180,14.95577,46.541641,442.0,117
181,14.955749,46.541626,442.4,117
182,14.955762,46.541599,442.8,117
183,14.955761,46.541587,443.2,117
184,14.955766,46.541572,443.8,117
189,14.955767,46.541505,444.2,118
190,14.955777,46.541499,444.8,119
191,14.955785,46.541502,445.2,119
192,14.955788,46.541503,445.8,119
247,14.955805,46.54151,446.2,93
248,14.9558,46.541544,446.2,91
250,14.955759,46.541621,445.8,89
251,14.955724,46.541668,445.4,89
252,14.955654,46.541709,445.0,88
253,14.9556,46.541745,444.6,88
254,14.95555,46.54177,444.2,86
258,14.955408,46.54182,444.2,85
264,14.955261,46.541855,444.2,82
266,14.955199,46.541879,444.2,81
272,14.95493,46.541862,444.2,82
275,14.954825,46.541834,444.2,85
277,14.95475,46.54183,444.2,88
278,14.954707,46.541826,444.2,90
282,14.954494,46.541859,444.2,87
283,14.954398,46.541869,444.2,86
288,14.954031,46.541886,443.8,83
289,14.953959,46.541889,443.2,81
290,14.953894,46.54189,442.8,80
291,14.953832,46.54189,442.4,79
292,14.953779,46.541879,442.0,79
294,14.953685,46.541873,442.0,81
296,14.953605,46.541867,442.0,85
298,14.953529,46.541857,442.0,88
300,14.953442,46.541838,442.0,88
301,14.953395,46.541827,442.4,87
302,14.953349,46.541828,442.8,85
303,14.953302,46.541828,443.2,84
304,14.953256,46.541821,443.6,84
305,14.953223,46.54181,444.0,84
307,14.953161,46.541786,444.0,86
310,14.953082,46.541736,444.6,90
311,14.953072,46.541724,445.0,91
312,14.953061,46.541704,445.6,92
313,14.953046,46.541687,446.2,94
314,14.953007,46.54167,446.6,95
316,14.952987,46.541622,446.6,98
318,14.952978,46.5416,447.0,102
319,14.952967,46.541588,447.6,103
320,14.952961,46.541579,448.0,104
321,14.952955,46.541564,448.4,105
322,14.952944,46.541541,448.8,106
323,14.952939,46.541523,448.8,107
326,14.952918,46.541472,449.2,111
327,14.952904,46.541453,449.6,111
328,14.952896,46.541442,450.0,112
329,14.952889,46.541427,450.4,113
330,14.952881,46.541416,451.0,113
333,14.952859,46.541362,451.0,115
340,14.952817,46.541219,451.4,117
341,14.952809,46.541204,451.8,118
342,14.952803,46.541193,452.2,118
343,14.952789,46.541179,452.6,118
344,14.952773,46.54116,453.0,119
348,14.952731,46.541088,453.0,120
350,14.952719,46.541043,453.4,120
351,14.95271,46.541026,453.8,120
352,14.952704,46.54101,454.2,121
353,14.9527,46.540989,454.6,121
354,14.952698,46.540966,455.0,121
356,14.952697,46.540928,455.0,121
360,14.952684,46.540875,455.4,122
361,14.952682,46.540866,455.8,122
362,14.952688,46.540856,456.2,122
363,14.95269,46.540841,456.6,122
364,14.952693,46.540815,457.0,122
371,14.952737,46.540692,457.4,122
372,14.95274,46.540676,458.0,122
373,14.952742,46.540663,458.4,122
374,14.952748,46.540647,458.8,122
375,14.952755,46.540631,459.2,122
381,14.952802,46.540486,459.2,119
384,14.952792,46.540418,459.8,119
385,14.952783,46.540399,460.2,118
386,14.952777,46.540384,460.6,119
387,14.952767,46.540364,461.0,119
388,14.952759,46.540347,461.6,119
390,14.952746,46.540318,462.0,119
391,14.95274,46.540304,462.4,119
392,14.952737,46.540287,462.8,120
393,14.952732,46.540268,463.2,120
394,14.95273,46.540255,463.6,120
402,14.952765,46.540179,464.2,121
403,14.95277,46.540172,464.6,121
404,14.952778,46.540162,465.0,121
405,14.952788,46.540149,465.6,121
406,14.952798,46.540131,466.0,121
410,14.952858,46.540038,466.0,121
415,14.952883,46.539989,466.0,120
432,14.952931,46.540151,468.0,111
433,14.952935,46.540173,468.0,111
436,14.952929,46.540275,468.0,107
437,14.952934,46.540315,468.0,106
439,14.952961,46.540479,468.0,103
441,14.953016,46.540568,468.0,100
443,14.95306,46.540618,468.0,97
445,14.953104,46.540665,468.0,96
450,14.953213,46.540796,468.0,93
451,14.953232,46.540828,468.0,92
453,14.953279,46.540896,467.6,89
454,14.953294,46.540926,467.2,88
455,14.953329,46.540976,466.8,87
456,14.953392,46.541036,466.4,86
457,14.953452,46.541066,465.8,84
458,14.953512,46.541089,465.4,83
459,14.953577,46.5411,464.8,81
460,14.953635,46.541121,464.4,81
461,14.953682,46.541142,463.8,81
464,14.953828,46.541197,463.8,85
466,14.953916,46.541214,464.2,89
467,14.953946,46.541218,464.8,89
468,14.953985,46.541222,465.2,89
469,14.954029,46.541238,465.6,89
470,14.954085,46.541243,466.0,88
472,14.954197,46.541243,466.0,84
476,14.954428,46.541276,466.0,82
479,14.954602,46.541262,465.6,82
480,14.954695,46.541253,465.2,81
481,14.954764,46.541243,464.8,78
482,14.95483,46.541236,464.4,78
483,14.954895,46.541216,464.0,78
485,14.955018,46.541185,463.6,80
486,14.955037,46.541172,463.2,80
487,14.955035,46.541139,462.8,82
488,14.955035,46.541124,462.4,82
489,14.955027,46.54111,461.8,83
490,14.955016,46.541092,461.8,87
491,14.955014,46.541071,461.8,89
492,14.955017,46.541053,461.8,92
493,14.95501,46.541038,462.4,96
494,14.955004,46.541022,462.8,100
495,14.955001,46.540996,463.2,103
496,14.954993,46.540983,463.8,105
497,14.954984,46.540969,464.2,108
498,14.954972,46.540952,464.6,110
499,14.954967,46.540933,465.2,112
500,14.954974,46.540919,465.6,113
501,14.954976,46.540893,466.2,114
502,14.954974,46.540877,466.6,116
504,14.954957,46.540845,467.2,119
505,14.954948,46.540828,467.6,120
506,14.954941,46.540816,468.0,120
507,14.954934,46.540797,468.4,122
508,14.954926,46.540781,469.0,123
509,14.954915,46.540766,469.6,124
510,14.954902,46.540749,470.2,125
511,14.954892,46.540743,470.6,126
512,14.954887,46.540732,471.2,127
515,14.954902,46.540712,471.2,129
517,14.954969,46.540702,471.2,130
518,14.955014,46.540703,470.6,130
519,14.955047,46.540705,470.0,130
520,14.955086,46.540711,469.4,129
521,14.955125,46.540727,468.8,129
522,14.955154,46.540751,468.2,129
523,14.955184,46.540774,467.6,129
524,14.955237,46.540799,466.8,128
525,14.955289,46.54081,466.0,128
526,14.955322,46.540819,465.4,128
527,14.955349,46.540823,464.6,128
528,14.955386,46.540818,463.8,127
529,14.955396,46.540795,463.0,127
530,14.955405,46.540777,462.2,127
531,14.9554,46.540766,461.4,127
537,14.955506,46.540659,461.4,127
544,14.955514,46.540452,461.4,126
549,14.955494,46.540322,461.4,123
552,14.955481,46.54024,461.4,120
555,14.955482,46.540156,461.4,117
557,14.955497,46.540107,461.4,113
558,14.955496,46.540087,461.4,111
559,14.955492,46.540068,461.4,108
561,14.955488,46.540035,461.4,105
565,14.955471,46.53997,461.4,102
566,14.955469,46.539959,461.4,101
569,14.955446,46.539942,461.4,99
571,14.95545,46.539954,461.4,100
577,14.955476,46.540053,461.4,98
580,14.955518,46.54006,461.4,97
582,14.955553,46.540049,461.4,96
584,14.955624,46.540035,460.8,97
585,14.955668,46.540024,460.0,98
586,14.955716,46.540021,459.4,98
587,14.955769,46.540021,458.6,98
588,14.955823,46.540024,457.8,98
589,14.955879,46.54003,457.2,98
590,14.955929,46.540046,456.2,97
591,14.955972,46.540061,455.4,96
592,14.956013,46.54008,454.6,95
593,14.956053,46.540105,453.8,93
594,14.956113,46.540168,453.0,91
595,14.956148,46.540206,452.2,90
596,14.956115,46.540266,451.4,90
597,14.956096,46.540308,450.8,90
601,14.956003,46.540377,450.8,93
602,14.955991,46.540387,450.8,94
606,14.955986,46.540444,450.8,98
608,14.955982,46.540481,450.8,100
613,14.955947,46.540556,451.2,102
614,14.955942,46.540567,451.6,103
615,14.955938,46.540577,452.0,104
616,14.955924,46.540592,452.4,105
617,14.955818,46.540627,452.8,106
620,14.955827,46.540706,452.8,109
621,14.955827,46.540719,453.2,110
622,14.955814,46.540725,453.8,111
623,14.955795,46.54074,454.2,112
624,14.955763,46.54072,454.6,112
625,14.955734,46.540709,455.2,114
628,14.955689,46.540671,455.2,118
629,14.955665,46.540659,455.6,119
630,14.95564,46.540644,456.0,120
631,14.955622,46.540631,456.6,121
632,14.955609,46.540618,457.0,122
633,14.955595,46.540603,457.4,123
634,14.955576,46.540588,458.0,125
635,14.955565,46.540577,458.4,127
636,14.955547,46.540562,458.8,128
637,14.955533,46.540556,459.4,129
638,14.955525,46.540557,459.8,131
640,14.95551,46.540587,459.8,133
641,14.955508,46.540603,459.8,135
646,14.95548,46.540667,459.8,137
647,14.955486,46.540679,459.8,137
652,14.95549,46.540775,459.8,136
653,14.955478,46.540798,459.8,135
656,14.955433,46.54084,459.8,133
659,14.955398,46.540832,460.2,132
669,14.9554,46.54085,461.8,131
670,14.955405,46.540872,461.8,130
672,14.955395,46.540939,461.8,128
674,14.955382,46.541031,461.8,125
677,14.95539,46.54111,461.8,122
678,14.955418,46.541125,461.4,120
679,14.955451,46.541134,461.0,120
680,14.955501,46.541158,460.4,118
681,14.955544,46.541191,459.8,117
682,14.955575,46.541243,459.0,115
683,14.9556,46.541308,458.2,113
