Duracion,Longitud,Latitud,Elevacion,PC
0,16.203348,46.517123,171.0,83
3,16.203214,46.517198,171.0,84
4,16.203167,46.517222,171.0,84
7,16.20302,46.517293,171.0,85
16,16.202564,46.517516,171.0,87
23,16.202247,46.517678,171.0,87
29,16.202053,46.5178,171.0,85
35,16.201855,46.517991,171.0,87
40,16.201674,46.518178,171.0,90
44,16.201521,46.51833,171.0,89
52,16.201207,46.518654,171.0,90
57,16.201001,46.518858,171.4,92
58,16.200958,46.518899,171.8,93
59,16.200916,46.518939,172.2,94
60,16.200875,46.518981,172.6,94
61,16.200832,46.519022,173.0,94
67,16.200572,46.519284,173.0,96
74,16.200291,46.519576,173.0,97
81,16.199999,46.519878,173.0,98
88,16.199708,46.520175,173.0,98
94,16.199442,46.520421,173.0,99
96,16.199319,46.520471,173.0,99
98,16.199193,46.520489,173.0,98
101,16.199019,46.520515,173.0,97
102,16.198965,46.52053,173.0,95
105,16.198846,46.520608,173.0,94
108,16.19893,46.520722,173.0,93
111,16.199096,46.520809,173.0,93
113,16.199199,46.520868,173.0,93
116,16.199341,46.520956,173.0,96
120,16.199523,46.521075,173.0,98
124,16.199708,46.52118,173.0,101
126,16.199795,46.521237,173.0,102
127,16.199846,46.521267,173.0,102
132,16.200109,46.521421,173.0,102
133,16.200131,46.521465,173.0,101
136,16.200151,46.521627,173.0,101
138,16.200151,46.521744,173.0,101
143,16.200106,46.522017,173.0,102
144,16.200079,46.522069,173.0,103
148,16.199951,46.522257,173.0,104
149,16.199936,46.522307,173.0,104
154,16.199855,46.52256,173.0,105
155,16.199849,46.522611,173.0,104
159,16.199868,46.522828,173.0,105
166,16.199938,46.523204,173.0,106
167,16.199979,46.52324,173.0,105
170,16.200175,46.523304,173.0,104
171,16.200244,46.523325,173.0,104
177,16.200651,46.523481,173.0,105
178,16.200722,46.523503,173.0,105
182,16.201009,46.523598,173.0,107
183,16.201075,46.523627,173.0,107
190,16.201519,46.52386,173.0,107
191,16.201582,46.52389,173.0,108
198,16.202052,46.524106,173.0,109
201,16.202279,46.524177,173.0,109
204,16.202506,46.524248,173.0,110
205,16.202575,46.52428,173.0,110
210,16.202887,46.524457,173.0,112
213,16.203056,46.52456,173.0,111
216,16.203221,46.52466,173.0,109
223,16.203607,46.524923,173.0,109
224,16.203646,46.524972,173.0,109
227,16.2037,46.525117,173.0,108
231,16.203774,46.525263,173.0,106
232,16.203805,46.525303,173.0,106
234,16.203869,46.525396,173.0,105
236,16.203918,46.52549,173.0,105
239,16.204003,46.525619,173.0,106
241,16.204056,46.525706,173.0,107
242,16.204095,46.525742,173.0,107
244,16.20415,46.525802,173.0,108
249,16.204276,46.525996,173.0,107
253,16.204429,46.526168,173.0,108
255,16.204495,46.526257,173.0,109
259,16.204601,46.52636,173.0,110
262,16.204628,46.526297,173.0,109
266,16.204679,46.526155,173.0,109
270,16.204831,46.526063,173.0,110
273,16.204995,46.526016,173.0,113
276,16.205172,46.525977,173.0,115
281,16.205548,46.525921,173.0,116
282,16.205621,46.525909,173.0,116
283,16.205683,46.525891,173.0,117
286,16.205839,46.525827,172.6,116
287,16.205896,46.525796,172.2,116
288,16.205942,46.525765,171.8,116
289,16.206009,46.525736,171.4,116
290,16.206074,46.525713,171.0,116
292,16.206199,46.525673,171.0,116
296,16.206511,46.525571,171.0,117
301,16.206866,46.525478,171.0,117
304,16.207081,46.525472,171.0,117
306,16.207243,46.525501,171.0,116
312,16.207732,46.525543,171.0,116
316,16.20795,46.525564,171.0,115
317,16.207985,46.525578,171.0,115
320,16.208153,46.525625,171.0,115
321,16.208201,46.525641,171.0,115
323,16.208276,46.52567,171.0,115
327,16.208534,46.525749,171.0,116
332,16.208742,46.525887,171.0,117
337,16.208883,46.525983,171.0,116
339,16.208933,46.526021,171.0,115
342,16.209104,46.526063,171.0,116
346,16.209379,46.526098,171.0,118
351,16.209643,46.525991,171.0,121
353,16.209725,46.525917,171.0,121
355,16.209809,46.525841,171.0,121
356,16.209856,46.525808,171.0,122
358,16.209936,46.525733,171.0,122
361,16.210067,46.525588,171.0,121
364,16.210134,46.525456,171.0,119
365,16.210152,46.525418,171.0,119
369,16.210216,46.525285,171.0,116
373,16.210295,46.52517,171.0,116
374,16.210295,46.525155,171.0,116
378,16.21025,46.525085,171.0,116
383,16.210236,46.52501,171.0,116
388,16.210384,46.524931,171.0,117
393,16.210582,46.524837,171.0,118
394,16.210629,46.524831,171.0,117
397,16.210822,46.52483,171.0,117
399,16.210956,46.524846,171.0,118
406,16.211467,46.524943,171.0,120
411,16.211834,46.525025,171.0,121
412,16.211908,46.525031,171.0,121
415,16.212139,46.525051,171.0,122
417,16.212272,46.52508,171.0,122
421,16.212441,46.525115,171.0,122
423,16.212504,46.525112,171.0,121
426,16.212659,46.525111,171.0,118
428,16.212755,46.525089,171.0,118
430,16.212825,46.525051,171.0,118
434,16.212962,46.525014,171.0,118
439,16.213287,46.525017,171.0,121
444,16.213656,46.525074,171.0,120
447,16.213783,46.525126,171.0,120
448,16.213813,46.525142,171.0,119
453,16.214127,46.525189,171.0,119
459,16.214528,46.525223,171.0,121
464,16.214831,46.525235,171.0,122
469,16.215164,46.525208,171.0,120
473,16.215409,46.52515,171.0,121
474,16.215455,46.525119,171.0,121
478,16.215534,46.524977,171.0,122
483,16.215493,46.524765,171.0,123
485,16.215521,46.524728,171.0,124
488,16.215571,46.524681,171.0,124
492,16.215507,46.524588,171.0,123
496,16.215479,46.524468,171.0,122
501,16.215561,46.524233,171.0,122
504,16.215637,46.524152,171.0,121
505,16.215645,46.52415,170.4,120
506,16.215655,46.524149,170.0,120
507,16.21567,46.524147,169.6,119
508,16.215681,46.524149,169.2,119
509,16.215686,46.52415,168.8,118
510,16.2157,46.524148,168.8,118
512,16.215717,46.524127,168.8,117
514,16.215727,46.524094,168.8,117
519,16.215738,46.524021,168.8,118
525,16.215736,46.523952,168.8,118
531,16.215758,46.523821,168.8,117
534,16.215739,46.52372,168.8,117
536,16.215716,46.523646,168.8,117
537,16.215727,46.523622,168.8,117
539,16.215732,46.523582,168.8,118
542,16.215686,46.523506,168.8,117
544,16.215658,46.523437,168.8,116
548,16.215678,46.523296,168.8,116
552,16.215716,46.523207,168.8,118
556,16.215689,46.52314,168.8,118
560,16.215771,46.523083,168.8,118
561,16.215772,46.523051,168.8,117
564,16.21571,46.52296,168.8,118
569,16.215701,46.52273,168.8,118
572,16.215742,46.52261,168.8,117
574,16.215816,46.522555,168.8,118
577,16.215791,46.522493,168.8,119
581,16.215744,46.522361,168.8,119
586,16.215917,46.522265,168.8,120
587,16.215952,46.522237,168.8,120
590,16.216062,46.522176,168.8,119
591,16.216075,46.522127,168.8,118
594,16.216091,46.521975,168.8,116
597,16.216109,46.521844,168.8,117
598,16.216128,46.521823,168.8,117
599,16.216179,46.521816,169.2,118
600,16.216234,46.521811,169.6,118
601,16.216293,46.521808,170.0,118
602,16.216359,46.521799,170.4,119
603,16.216424,46.521789,171.0,120
606,16.216649,46.521764,171.0,121
613,16.217164,46.521794,171.0,123
618,16.217529,46.521831,171.0,131
619,16.217605,46.521838,171.0,131
621,16.217743,46.521852,171.0,130
627,16.218176,46.521913,171.0,128
631,16.218464,46.521948,171.0,125
633,16.218602,46.521966,171.0,125
634,16.218667,46.521968,171.0,124
638,16.218946,46.52197,171.0,123
641,16.21916,46.521955,171.0,120
643,16.219311,46.521924,171.0,120
649,16.219792,46.521858,171.0,119
655,16.22033,46.521808,171.0,120
