Duracion,Longitud,Latitud,Elevacion,PC
0,14.516651,46.077805,289.0,81
1,14.516651,46.077805,289.0,81
4,14.516657,46.077805,289.0,78
5,14.516658,46.077806,289.2,78
10,14.516665,46.07781,289.2,75
14,14.516669,46.077808,289.2,75
19,14.516676,46.077808,289.2,72
27,14.516614,46.077839,289.2,72
38,14.516356,46.077876,289.2,69
45,14.51634,46.077901,289.2,72
52,14.51633,46.077914,289.2,73
66,14.51627,46.077931,289.2,73
72,14.516261,46.077931,289.2,74
78,14.516261,46.077931,289.2,77
81,14.516261,46.077931,289.2,78
91,14.516261,46.077931,289.2,81
101,14.516261,46.077931,289.2,80
112,14.516258,46.07793,289.2,77
116,14.516258,46.07793,289.2,77
125,14.516258,46.07793,289.2,74
129,14.516258,46.07793,289.2,75
138,14.516258,46.07793,289.2,72
140,14.516258,46.07793,289.2,71
150,14.516251,46.077925,289.2,88
151,14.516251,46.077925,289.2,88
154,14.516251,46.077925,289.2,88
166,14.516251,46.077925,289.2,85
168,14.516251,46.077925,289.2,85
173,14.516251,46.077925,289.2,84
176,14.516251,46.077925,289.2,81
183,14.516251,46.077925,289.2,80
188,14.516251,46.077925,289.2,77
198,14.516247,46.077923,289.2,76
209,14.516247,46.077923,289.2,78
219,14.516247,46.077923,289.2,74
222,14.516247,46.077923,289.2,74
234,14.516244,46.077924,289.2,75
240,14.516237,46.077932,289.2,72
242,14.516217,46.077941,289.2,72
246,14.51616,46.077979,289.2,72
247,14.516161,46.077997,289.2,72
252,14.516174,46.078116,289.2,73
254,14.516193,46.078157,289.2,73
256,14.516153,46.078162,289.2,73
260,14.516135,46.078077,289.2,72
262,14.516117,46.078023,289.2,73
264,14.5161,46.077969,289.2,74
265,14.516123,46.077953,289.2,75
268,14.516195,46.077998,289.2,75
271,14.516173,46.078086,289.2,75
273,14.516162,46.078146,289.2,75
278,14.516223,46.078318,289.2,77
281,14.516359,46.078388,289.2,79
286,14.516534,46.078504,289.2,82
290,14.516555,46.078634,289.2,82
296,14.516578,46.078875,289.2,82
301,14.516608,46.079062,289.6,83
302,14.516615,46.079099,290.0,84
303,14.516619,46.07914,290.4,84
304,14.516623,46.079182,290.8,83
305,14.516626,46.079224,291.2,84
310,14.516641,46.079425,291.2,83
315,14.51666,46.079606,291.2,85
320,14.516679,46.07985,291.2,88
321,14.516687,46.079896,291.2,88
322,14.51669,46.079944,291.2,89
325,14.516699,46.080078,291.2,90
326,14.5167,46.080124,291.2,90
333,14.516728,46.080456,291.2,89
335,14.516738,46.080561,291.2,89
338,14.516746,46.080738,291.2,89
344,14.516743,46.081035,291.2,91
345,14.516732,46.081085,291.2,90
348,14.516653,46.081219,291.2,88
350,14.516597,46.081298,291.2,87
352,14.516583,46.081382,291.2,84
353,14.516588,46.081421,291.2,84
355,14.516601,46.081503,291.2,83
359,14.516619,46.081697,291.2,83
363,14.516629,46.081902,291.2,83
366,14.516646,46.082046,291.2,83
368,14.516638,46.082134,291.2,82
370,14.516637,46.082225,291.2,81
373,14.516652,46.082368,291.2,81
377,14.516674,46.082558,291.2,83
380,14.516686,46.082689,291.2,80
383,14.516685,46.0828,291.2,77
387,14.516678,46.082882,291.2,77
389,14.516685,46.082909,291.2,77
390,14.516719,46.082921,290.6,77
391,14.516764,46.082924,290.2,77
392,14.516816,46.082921,289.8,78
393,14.516875,46.08292,289.4,78
394,14.516938,46.082916,288.8,78
396,14.51707,46.082908,288.8,80
399,14.517276,46.082893,288.8,83
403,14.517574,46.08287,288.8,83
409,14.518059,46.082827,288.8,86
410,14.518139,46.082821,288.8,86
418,14.518813,46.082756,288.8,88
423,14.519238,46.082697,288.8,90
429,14.519706,46.08266,288.8,90
432,14.519844,46.08267,288.8,88
435,14.519849,46.08277,288.8,87
438,14.519919,46.082862,288.8,86
439,14.519934,46.082902,288.8,86
442,14.519947,46.08304,288.8,86
447,14.519941,46.083249,288.8,86
449,14.519905,46.083295,288.8,85
450,14.519903,46.083316,288.8,84
451,14.519909,46.08334,288.8,84
455,14.520017,46.083441,288.8,83
458,14.520209,46.083422,288.0,84
459,14.520283,46.083409,287.6,84
460,14.520357,46.083399,287.2,85
461,14.520434,46.083389,286.8,85
464,14.520686,46.083363,286.8,86
469,14.521163,46.083288,286.8,83
470,14.521265,46.083275,286.8,82
471,14.521367,46.083261,286.4,82
472,14.521475,46.083244,286.0,81
473,14.521582,46.083226,285.6,79
474,14.521684,46.08321,285.2,78
475,14.521777,46.083194,284.6,77
476,14.52186,46.083181,284.6,77
478,14.522011,46.083163,284.6,77
479,14.522072,46.083175,284.2,77
480,14.522122,46.0832,283.8,76
481,14.522166,46.083234,283.4,77
482,14.522194,46.083273,283.0,76
483,14.522211,46.083316,282.6,76
484,14.522226,46.083363,282.6,76
485,14.52225,46.083414,282.6,76
488,14.522292,46.083598,282.6,76
490,14.52229,46.083733,282.6,78
493,14.522279,46.083939,282.6,81
494,14.522275,46.084006,282.6,80
497,14.522277,46.084204,282.6,79
499,14.522316,46.084328,282.6,77
500,14.522349,46.08439,282.2,77
501,14.52238,46.084449,281.6,78
502,14.522413,46.084509,281.2,77
503,14.522442,46.084568,280.6,77
504,14.522461,46.084629,280.0,77
505,14.522481,46.084689,280.0,76
