Duracion,Longitud,Latitud,Elevacion,PC
0,14.816252,46.062092,241.8,77
2,14.816326,46.062066,241.8,80
4,14.816391,46.062047,241.8,83
5,14.81639,46.062023,240.8,84
6,14.816385,46.061994,242.0,84
10,14.816325,46.061866,241.4,86
11,14.816313,46.061828,241.0,87
13,14.816285,46.061746,240.8,88
15,14.816263,46.061656,240.8,91
17,14.816245,46.06156,240.6,93
24,14.816196,46.061198,240.2,96
27,14.81617,46.061032,240.4,99
30,14.81614,46.060862,239.8,101
33,14.816114,46.060683,239.8,103
41,14.816062,46.060187,238.8,105
42,14.816062,46.06012,238.6,105
43,14.816074,46.060055,238.4,105
46,14.816128,46.059866,238.8,106
47,14.816162,46.059803,238.6,106
54,14.816447,46.059359,239.0,108
60,14.816792,46.059031,238.8,110
64,14.81705,46.058849,239.6,111
67,14.817258,46.058729,239.0,112
72,14.817613,46.058563,239.2,113
81,14.818377,46.05826,240.2,115
85,14.818722,46.058142,240.2,118
88,14.818984,46.058047,239.8,119
90,14.819143,46.057974,239.8,120
93,14.819401,46.057871,239.6,120
98,14.819883,46.057775,239.2,120
103,14.82028,46.057721,240.0,116
104,14.820337,46.057735,239.8,113
106,14.820429,46.057784,240.0,111
107,14.820452,46.057809,240.8,110
109,14.820461,46.057869,241.4,110
110,14.820466,46.057893,241.6,110
111,14.820472,46.057912,242.0,111
114,14.820476,46.05799,242.6,113
115,14.820488,46.058027,243.2,114
118,14.82049,46.058152,244.0,117
119,14.820494,46.058197,244.6,118
122,14.820519,46.058309,245.8,120
125,14.82057,46.058407,246.6,123
126,14.820586,46.05844,246.8,123
130,14.82069,46.058563,247.6,126
131,14.820727,46.058589,248.0,127
132,14.820775,46.058607,248.2,128
136,14.820973,46.058643,249.0,131
137,14.821029,46.058649,249.2,133
140,14.821213,46.058659,248.4,135
142,14.821342,46.058671,248.0,137
143,14.821412,46.058684,247.8,138
146,14.821628,46.058678,247.8,140
149,14.82181,46.058701,248.4,141
150,14.821856,46.058726,249.0,141
151,14.821898,46.058749,249.8,142
153,14.821971,46.058841,251.0,142
154,14.822008,46.058886,251.0,141
156,14.822079,46.058973,251.8,142
157,14.822118,46.059009,252.6,141
160,14.822226,46.05912,254.0,142
164,14.822371,46.059241,255.2,144
168,14.822508,46.059315,255.6,145
171,14.822668,46.059383,254.6,146
173,14.822821,46.059414,254.2,146
176,14.823095,46.05946,252.6,147
177,14.823194,46.059482,252.6,147
179,14.823413,46.059528,251.4,146
181,14.823642,46.059578,249.8,146
182,14.823766,46.059602,249.4,144
184,14.824018,46.05965,248.4,143
186,14.824279,46.059703,247.2,140
188,14.824553,46.059759,245.8,137
190,14.824835,46.059817,244.8,132
192,14.825119,46.059877,244.0,126
193,14.825265,46.059903,243.2,125
194,14.825406,46.05992,243.0,122
195,14.825546,46.059915,242.4,121
197,14.825802,46.059856,243.2,118
198,14.825907,46.059801,243.8,117
199,14.825991,46.059737,244.4,115
200,14.826073,46.059679,244.6,113
201,14.826141,46.059619,244.8,111
204,14.826332,46.059449,245.4,110
207,14.826513,46.059292,246.4,112
208,14.826574,46.059242,247.0,114
213,14.826885,46.058979,245.8,112
216,14.82708,46.058812,245.0,110
217,14.827146,46.058751,244.2,108
219,14.827271,46.058643,242.8,103
221,14.827373,46.05856,242.4,99
