Duracion,Longitud,Latitud,Elevacion,PC
0,14.816156,46.062149,238.0,72
1,14.816193,46.062136,238.0,72
4,14.816341,46.062096,237.6,75
5,14.81637,46.062075,238.0,77
6,14.816373,46.062047,238.0,79
9,14.816335,46.061943,238.0,82
11,14.816305,46.061857,237.4,85
13,14.816286,46.061767,237.4,88
14,14.816289,46.061712,237.6,89
17,14.816266,46.061566,237.4,91
18,14.816258,46.061518,236.8,92
22,14.816235,46.061309,237.2,95
25,14.816208,46.061151,237.2,97
32,14.816165,46.060777,236.8,97
38,14.816099,46.060444,237.0,96
45,14.816092,46.060043,235.6,95
49,14.81615,46.059859,236.2,95
50,14.816173,46.059818,236.6,94
51,14.816198,46.059777,236.8,93
57,14.816377,46.0595,236.0,91
58,14.81641,46.059451,235.8,92
62,14.816565,46.059262,236.2,95
64,14.81666,46.059171,235.2,94
71,14.817036,46.058881,235.4,96
75,14.81729,46.058738,235.6,98
77,14.817415,46.058667,235.4,99
82,14.817753,46.058521,235.4,102
83,14.817823,46.058493,235.2,103
88,14.81816,46.058359,235.8,106
92,14.818442,46.058242,236.4,108
95,14.818667,46.058179,236.4,111
96,14.81874,46.058156,236.2,112
101,14.819094,46.05804,236.4,115
102,14.819154,46.058017,236.6,115
104,14.819275,46.057967,237.0,117
107,14.819463,46.05789,236.2,118
108,14.819537,46.057869,236.0,118
114,14.820012,46.057789,236.0,117
119,14.820415,46.057739,235.8,116
121,14.820576,46.057726,234.8,116
122,14.820654,46.057723,234.2,115
126,14.820974,46.057698,235.6,113
129,14.821212,46.057687,234.6,112
130,14.821286,46.057686,234.8,112
137,14.821859,46.057707,234.4,110
140,14.822094,46.057733,233.2,111
142,14.822233,46.057749,232.2,110
150,14.822891,46.057827,233.4,111
158,14.823416,46.05793,234.0,113
160,14.82356,46.057966,234.8,112
163,14.823769,46.058017,232.8,112
167,14.824006,46.05808,232.2,112
170,14.824161,46.058125,233.6,108
173,14.824294,46.058154,233.0,105
175,14.824339,46.058132,234.2,104
176,14.82435,46.058124,235.2,103
177,14.824358,46.058118,236.2,102
178,14.824369,46.058112,236.4,101
182,14.824409,46.058088,236.6,103
183,14.824416,46.058078,236.6,104
185,14.824432,46.058062,236.6,108
187,14.824452,46.058046,236.4,111
189,14.82448,46.058031,236.4,113
193,14.824491,46.058024,236.6,115
198,14.824521,46.058027,236.6,115
202,14.824628,46.058053,235.6,116
205,14.82472,46.057996,235.8,113
207,14.824759,46.057945,235.4,112
210,14.824808,46.057837,235.2,111
212,14.824857,46.05776,235.2,110
214,14.824966,46.057726,235.0,108
216,14.825107,46.057734,234.6,104
218,14.825253,46.057757,234.6,103
219,14.825327,46.057774,234.4,103
224,14.825697,46.057867,233.4,101
226,14.825848,46.057901,233.4,97
228,14.825981,46.057864,233.4,93
230,14.826001,46.05777,233.4,90
232,14.826009,46.05771,233.4,89
