Duracion,Longitud,Latitud,Elevacion,PC
0,14.839506,46.132943,485.2,69
1,14.839543,46.13294,485.2,69
4,14.839681,46.132953,484.6,72
5,14.839735,46.132954,484.2,75
6,14.839795,46.132959,484.8,81
8,14.839916,46.132956,484.8,86
9,14.839988,46.132949,484.2,89
10,14.840064,46.132944,484.8,92
12,14.840219,46.132926,484.6,95
14,14.840382,46.1329,484.2,98
15,14.840463,46.132881,484.4,99
17,14.840626,46.132831,483.4,102
18,14.840709,46.132798,483.0,102
19,14.84079,46.13276,482.6,102
20,14.840872,46.132717,482.0,103
21,14.840954,46.132668,480.8,104
22,14.841032,46.132611,480.2,104
24,14.841173,46.132472,479.4,106
26,14.841313,46.132315,477.6,107
28,14.841482,46.132158,476.0,106
30,14.841693,46.132014,474.8,105
31,14.841811,46.131949,473.6,105
32,14.841938,46.131896,473.2,105
33,14.842069,46.131844,472.6,104
34,14.842211,46.131801,472.0,104
35,14.842361,46.131764,470.8,105
36,14.842512,46.131732,470.4,105
37,14.842672,46.131701,469.6,106
38,14.842841,46.13167,468.2,106
39,14.843009,46.131645,466.6,106
40,14.843185,46.131637,466.2,107
42,14.843597,46.131693,465.8,107
43,14.843803,46.131733,465.2,107
44,14.843995,46.131786,464.8,107
45,14.844174,46.131844,463.4,106
46,14.844319,46.131939,462.2,105
47,14.844475,46.132024,461.0,104
49,14.844831,46.132113,460.4,104
50,14.844998,46.132152,459.8,105
52,14.845352,46.132136,459.4,108
54,14.845719,46.132106,460.2,112
56,14.846089,46.132104,460.0,115
58,14.846471,46.132119,459.0,119
59,14.846663,46.132146,459.6,121
60,14.846852,46.132186,457.2,124
61,14.847036,46.132231,455.8,125
62,14.847213,46.13228,453.8,127
65,14.84775,46.132435,454.0,131
67,14.84812,46.132542,452.8,134
68,14.848306,46.132593,451.2,135
70,14.848694,46.132658,449.8,137
72,14.849075,46.13262,449.8,139
74,14.84942,46.132529,450.0,141
75,14.849597,46.132496,450.4,142
79,14.850301,46.132446,450.2,146
80,14.85048,46.132451,451.6,147
81,14.850659,46.132471,452.2,147
82,14.850834,46.132508,452.6,148
85,14.851282,46.132713,452.2,151
87,14.851511,46.13289,451.6,152
89,14.851751,46.133062,450.8,154
90,14.851886,46.133143,450.4,154
91,14.852034,46.133212,450.4,155
92,14.852198,46.133267,450.8,155
95,14.852715,46.133378,449.0,156
99,14.853389,46.133439,448.4,156
104,14.854244,46.133458,450.0,156
107,14.854773,46.133475,449.8,155
110,14.855344,46.133508,447.8,155
112,14.855741,46.133529,445.6,156
113,14.855939,46.13354,445.6,156
117,14.856684,46.133646,445.2,157
120,14.857172,46.133835,444.2,158
122,14.857484,46.13397,443.2,159
125,14.857953,46.134175,441.0,159
127,14.858271,46.134315,439.8,159
132,14.859021,46.134686,439.0,159
133,14.859166,46.13476,439.4,160
138,14.85987,46.135124,439.6,160
141,14.860304,46.135317,439.6,161
143,14.860613,46.135439,439.0,162
144,14.860766,46.1355,438.6,162
145,14.86092,46.135563,439.6,162
146,14.861084,46.135626,440.6,162
151,14.861963,46.135906,438.2,163
154,14.862545,46.13602,436.6,163
155,14.862746,46.136035,436.4,163
156,14.86295,46.136044,435.0,163
158,14.863356,46.136084,433.6,163
159,14.863547,46.136128,433.4,163
160,14.863716,46.136199,432.0,163
161,14.86386,46.136296,429.6,163
163,14.864065,46.136539,430.4,162
164,14.864139,46.136676,431.4,162
165,14.864207,46.136809,430.4,162
166,14.864268,46.136945,430.2,161
169,14.864411,46.137358,427.8,161
170,14.864451,46.137497,426.2,161
171,14.864479,46.137639,425.0,160
173,14.86457,46.137913,423.6,161
174,14.864656,46.138039,423.2,161
176,14.864807,46.138282,422.4,161
179,14.865112,46.138615,423.6,162
182,14.865463,46.138914,422.2,163
184,14.865718,46.139102,422.4,164
189,14.866439,46.139497,422.2,166
192,14.866901,46.139696,421.4,167
193,14.867067,46.139744,421.2,167
195,14.867424,46.1398,419.8,167
196,14.867605,46.139804,419.0,167
198,14.86797,46.139779,419.0,167
200,14.868328,46.13978,418.8,167
201,14.8685,46.139807,417.6,167
202,14.868671,46.139844,416.4,167
203,14.868846,46.139887,416.2,167
204,14.869046,46.13991,416.8,167
205,14.869258,46.139918,417.4,167
207,14.869545,46.140098,417.8,166
208,14.869682,46.140188,416.8,167
210,14.869989,46.140326,415.4,167
211,14.87017,46.140378,415.6,167
212,14.870364,46.140425,414.4,167
215,14.870955,46.140588,415.2,167
217,14.87129,46.140732,413.0,167
218,14.871453,46.140794,412.4,168
220,14.871817,46.140875,413.6,167
222,14.872208,46.140924,412.0,167
224,14.872598,46.140962,411.8,167
227,14.873232,46.140954,411.2,166
228,14.87343,46.140977,410.4,166
230,14.873839,46.141054,410.0,165
231,14.874032,46.141109,409.0,165
233,14.874374,46.14126,408.4,164
235,14.874644,46.141471,409.2,163
237,14.874897,46.141683,407.8,162
238,14.875013,46.141789,406.8,163
241,14.875369,46.142129,406.6,162
