Duracion,Longitud,Latitud,Elevacion,PC
0,16.34757,46.573377,167.3,91
1,16.34757,46.573377,167.3,91
2,16.34757,46.573377,167.3,91
3,16.34757,46.573377,167.3,91
4,16.34757,46.573377,167.3,91
5,16.34757,46.573377,167.3,91
6,16.34757,46.573377,167.3,91
7,16.34757,46.573377,167.3,91
8,16.34757,46.573377,167.3,91
9,16.34757,46.573377,167.3,91
10,16.34757,46.573377,167.3,91
11,16.34757,46.573377,167.3,91
12,16.34757,46.573377,167.3,91
13,16.34757,46.573377,167.3,91
14,16.34757,46.573377,167.3,92
15,16.34757,46.573377,167.3,93
16,16.34757,46.573377,167.3,97
17,16.34757,46.573377,167.3,97
18,16.34757,46.573377,167.3,93
19,16.34757,46.573377,167.3,93
20,16.34757,46.573377,167.3,93
21,16.34757,46.573377,167.3,101
22,16.34757,46.573377,167.3,98
23,16.34757,46.573377,167.3,97
24,16.34757,46.573377,167.3,97
25,16.34757,46.573377,167.3,96
26,16.34757,46.573377,167.3,95
27,16.34757,46.573377,167.3,95
28,16.34757,46.573377,167.3,99
29,16.34757,46.573377,167.3,99
30,16.34757,46.573377,167.3,99
31,16.347552,46.573382,167.3,99
32,16.347535,46.573388,167.3,99
33,16.347513,46.573397,167.3,99
34,16.347485,46.573408,167.3,93
35,16.347448,46.573425,167.3,93
36,16.347408,46.573435,167.2,93
37,16.347358,46.573442,167.2,93
38,16.347307,46.573448,167.2,93
39,16.347248,46.573462,167.1,88
40,16.347185,46.573477,167.1,89
41,16.347115,46.573495,167.0,89
42,16.347043,46.573517,167.0,89
43,16.346968,46.573538,167.1,89
44,16.346892,46.573558,167.2,89
45,16.346813,46.573575,167.3,89
46,16.346732,46.573587,167.4,89
47,16.346647,46.573593,167.5,89
48,16.34656,46.573595,167.6,89
49,16.34647,46.573595,167.7,89
50,16.34638,46.573593,167.8,81
51,16.34629,46.573592,168.0,81
52,16.346205,46.573587,168.0,79
53,16.346118,46.573582,168.0,79
54,16.346025,46.57358,168.0,79
55,16.345943,46.573583,168.0,79
56,16.345863,46.573583,168.0,84
57,16.345785,46.573585,168.0,91
58,16.345715,46.573598,168.0,91
